Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Bauru Basket,1,0.00,94.00,42.00,36.00,16.00,38.00,7.00,31.00,23.00,9.00,2.56,94.00,14.00,34.00,41.18,18.00,28.00,64.29,16.00,20.00,80.00,1.00,7.00,0.78,1.00,15.00,0.07,9.00,3.00,120.00
Flamengo,1,0.00,91.00,21.00,46.00,24.00,32.00,5.00,27.00,18.00,13.00,1.38,91.00,7.00,13.00,53.85,23.00,41.00,56.10,24.00,30.00,80.00,0.00,8.00,0.62,3.00,21.00,0.14,13.00,3.00,109.00
Fortaleza B. C. / CFO,1,0.00,88.00,27.00,48.00,13.00,35.00,13.00,22.00,23.00,12.00,1.92,88.00,9.00,26.00,34.62,24.00,37.00,64.86,13.00,18.00,72.22,3.00,8.00,0.67,1.00,21.00,0.05,12.00,5.00,108.00
Paulistano,1,0.00,85.00,24.00,52.00,9.00,36.00,11.00,25.00,15.00,11.00,1.36,85.00,8.00,18.00,44.44,26.00,48.00,54.17,9.00,11.00,81.82,2.00,9.00,0.82,2.00,20.00,0.10,11.00,2.00,102.00
Minas,1,0.00,81.00,18.00,54.00,9.00,36.00,11.00,25.00,7.00,8.00,0.88,81.00,6.00,18.00,33.33,27.00,52.00,51.92,9.00,17.00,52.94,1.00,6.00,0.75,0.00,19.00,0.00,8.00,0.00,76.00
Mogi,1,0.00,81.00,21.00,38.00,22.00,34.00,11.00,23.00,12.00,12.00,1.00,81.00,7.00,28.00,25.00,19.00,33.00,57.58,22.00,33.00,66.67,3.00,15.00,1.25,4.00,23.00,0.17,12.00,2.00,88.00
Pinheiros,1,0.00,79.00,15.00,46.00,18.00,39.00,12.00,27.00,15.00,17.00,0.88,79.00,5.00,24.00,20.83,23.00,40.00,57.50,18.00,25.00,72.00,1.00,10.00,0.59,1.00,27.00,0.04,17.00,2.00,84.00
Brasília,1,0.00,79.00,33.00,32.00,14.00,46.00,15.00,31.00,12.00,17.00,0.71,79.00,11.00,27.00,40.74,16.00,37.00,43.24,14.00,18.00,77.78,2.00,7.00,0.41,0.00,21.00,0.00,17.00,4.00,86.00
Rio Claro,1,0.00,73.00,18.00,44.00,11.00,33.00,12.00,21.00,16.00,10.00,1.60,73.00,6.00,19.00,31.58,22.00,45.00,48.89,11.00,20.00,55.00,2.00,9.00,0.90,3.00,27.00,0.11,10.00,2.00,79.00
Coop/São José Basketball,1,0.00,73.00,27.00,32.00,14.00,34.00,5.00,29.00,11.00,19.00,0.58,73.00,9.00,26.00,34.62,16.00,29.00,55.17,14.00,16.00,87.50,1.00,12.00,0.63,7.00,21.00,0.33,19.00,5.00,86.00
Sesi Franca,1,0.00,71.00,18.00,42.00,11.00,30.00,9.00,21.00,12.00,12.00,1.00,71.00,6.00,23.00,26.09,21.00,44.00,47.73,11.00,15.00,73.33,3.00,12.00,1.00,2.00,22.00,0.09,12.00,3.00,71.00
Vitória,1,0.00,68.00,12.00,42.00,14.00,33.00,11.00,22.00,11.00,15.00,0.73,68.00,4.00,16.00,25.00,21.00,46.00,45.65,14.00,17.00,82.35,3.00,9.00,0.60,0.00,18.00,0.00,15.00,4.00,66.00
Caxias do Sul Basquete,1,0.00,65.00,15.00,42.00,8.00,38.00,15.00,23.00,12.00,15.00,0.80,65.00,5.00,27.00,18.52,21.00,42.00,50.00,8.00,15.00,53.33,2.00,13.00,0.87,1.00,22.00,0.05,15.00,2.00,64.00
L. Sorocabana,1,0.00,65.00,18.00,30.00,17.00,29.00,11.00,18.00,12.00,15.00,0.80,65.00,6.00,22.00,27.27,15.00,33.00,45.45,17.00,22.00,77.27,2.00,7.00,0.47,2.00,19.00,0.11,15.00,7.00,61.00
