Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Bauru Basket,1,0.00,109.00,48.00,52.00,9.00,40.00,12.00,28.00,28.00,14.00,2.00,109.00,16.00,33.00,48.48,26.00,34.00,76.47,9.00,10.00,90.00,2.00,7.00,0.50,1.00,23.00,0.04,14.00,4.00,145.00
Paulistano,1,0.00,99.00,36.00,40.00,23.00,40.00,11.00,29.00,20.00,12.00,1.67,99.00,12.00,26.00,46.15,20.00,35.00,57.14,23.00,29.00,79.31,1.00,7.00,0.58,1.00,21.00,0.05,12.00,3.00,120.00
Flamengo,1,0.00,93.00,27.00,50.00,16.00,37.00,11.00,26.00,23.00,14.00,1.64,93.00,9.00,23.00,39.13,25.00,43.00,58.14,16.00,20.00,80.00,2.00,16.00,1.14,4.00,17.00,0.24,14.00,3.00,123.00
Pinheiros,1,0.00,83.00,15.00,44.00,24.00,25.00,8.00,17.00,14.00,8.00,1.75,83.00,5.00,20.00,25.00,22.00,41.00,53.66,24.00,33.00,72.73,1.00,9.00,1.13,3.00,17.00,0.18,8.00,1.00,83.00
Brasília,1,0.00,78.00,27.00,40.00,11.00,22.00,7.00,15.00,15.00,10.00,1.50,78.00,9.00,27.00,33.33,20.00,35.00,57.14,11.00,17.00,64.71,2.00,8.00,0.80,3.00,28.00,0.11,10.00,1.00,77.00
Fortaleza B. C. / CFO,1,0.00,76.00,30.00,34.00,12.00,43.00,15.00,28.00,13.00,8.00,1.63,76.00,10.00,31.00,32.26,17.00,37.00,45.95,12.00,20.00,60.00,1.00,6.00,0.75,3.00,22.00,0.14,8.00,0.00,84.00
Rio Claro,1,0.00,73.00,27.00,38.00,8.00,26.00,4.00,22.00,17.00,22.00,0.77,73.00,9.00,14.00,64.29,19.00,39.00,48.72,8.00,18.00,44.44,2.00,11.00,0.50,1.00,23.00,0.04,22.00,4.00,71.00
Mogi,1,0.00,55.00,3.00,38.00,14.00,37.00,11.00,26.00,10.00,14.00,0.71,55.00,1.00,19.00,5.26,19.00,41.00,46.34,14.00,17.00,82.35,2.00,7.00,0.50,2.00,20.00,0.10,14.00,5.00,54.00
