Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Flamengo,1,0.00,97.00,21.00,50.00,26.00,46.00,16.00,30.00,24.00,14.00,1.71,97.00,7.00,25.00,28.00,25.00,45.00,55.56,26.00,27.00,96.30,2.00,10.00,0.71,1.00,17.00,0.06,14.00,2.00,125.00
Brasília,1,0.00,94.00,18.00,60.00,16.00,42.00,6.00,36.00,25.00,22.00,1.14,94.00,6.00,22.00,27.27,30.00,37.00,81.08,16.00,22.00,72.73,1.00,11.00,0.50,3.00,21.00,0.14,22.00,2.00,124.00
Pinheiros,1,0.00,92.00,27.00,50.00,15.00,50.00,12.00,38.00,17.00,17.00,1.00,92.00,9.00,25.00,36.00,25.00,55.00,45.45,15.00,26.00,57.69,1.00,18.00,1.06,4.00,27.00,0.15,17.00,4.00,107.00
Macaé Basquete,1,0.00,87.00,21.00,32.00,34.00,55.00,18.00,37.00,15.00,22.00,0.68,87.00,7.00,32.00,21.88,16.00,46.00,34.78,34.00,42.00,80.95,2.00,12.00,0.55,6.00,23.00,0.26,22.00,3.00,90.00
Mogi,1,0.00,85.00,39.00,26.00,20.00,37.00,11.00,26.00,15.00,9.00,1.67,85.00,13.00,35.00,37.14,13.00,28.00,46.43,20.00,26.00,76.92,0.00,9.00,1.00,3.00,16.00,0.19,9.00,1.00,97.00
Sesi Franca,1,0.00,82.00,27.00,34.00,21.00,44.00,11.00,33.00,20.00,16.00,1.25,82.00,9.00,20.00,45.00,17.00,34.00,50.00,21.00,27.00,77.78,2.00,3.00,0.19,5.00,19.00,0.26,16.00,3.00,104.00
Paulistano,1,0.00,82.00,27.00,38.00,17.00,43.00,13.00,30.00,23.00,10.00,2.30,82.00,9.00,23.00,39.13,19.00,44.00,43.18,17.00,18.00,94.44,3.00,6.00,0.60,1.00,19.00,0.05,10.00,1.00,105.00
Caxias do Sul Basquete,1,0.00,80.00,33.00,36.00,11.00,27.00,5.00,22.00,21.00,14.00,1.50,80.00,11.00,28.00,39.29,18.00,34.00,52.94,11.00,14.00,78.57,3.00,11.00,0.79,0.00,24.00,0.00,14.00,4.00,89.00
Bauru Basket,1,0.00,79.00,33.00,32.00,14.00,37.00,10.00,27.00,17.00,14.00,1.21,79.00,11.00,30.00,36.67,16.00,29.00,55.17,14.00,22.00,63.64,0.00,8.00,0.57,2.00,26.00,0.08,14.00,3.00,89.00
Minas,1,0.00,76.00,21.00,44.00,11.00,36.00,10.00,26.00,21.00,10.00,2.10,76.00,7.00,15.00,46.67,22.00,50.00,44.00,11.00,18.00,61.11,1.00,7.00,0.70,4.00,20.00,0.20,10.00,4.00,91.00
L. Sorocabana,1,0.00,73.00,18.00,36.00,19.00,33.00,14.00,19.00,12.00,13.00,0.92,73.00,6.00,33.00,18.18,18.00,41.00,43.90,19.00,23.00,82.61,1.00,20.00,1.54,2.00,21.00,0.10,13.00,1.00,73.00
Coop/São José Basketball,1,0.00,70.00,21.00,38.00,11.00,29.00,10.00,19.00,18.00,6.00,3.00,70.00,7.00,26.00,26.92,19.00,43.00,44.19,11.00,12.00,91.67,1.00,8.00,1.33,0.00,25.00,0.00,6.00,3.00,75.00
Rio Claro,1,0.00,67.00,36.00,20.00,11.00,36.00,4.00,32.00,12.00,15.00,0.80,67.00,12.00,28.00,42.86,10.00,25.00,40.00,11.00,16.00,68.75,0.00,8.00,0.53,1.00,17.00,0.06,15.00,4.00,73.00
Fortaleza B. C. / CFO,1,0.00,64.00,30.00,24.00,10.00,39.00,9.00,30.00,16.00,12.00,1.33,64.00,10.00,30.00,33.33,12.00,33.00,36.36,10.00,14.00,71.43,2.00,11.00,0.92,3.00,18.00,0.17,12.00,3.00,76.00
