Data,Equipe_Casa,Pontos_Casa,Pontos_Visitante,Equipe_Visitante,Rodada,Etapa
02/11/2015,Bauru,77,73,Flamengo,1,1
03/11/2015,Franca,77,73,Macaé,1,1
03/11/2015,Rio Claro,82,67,L. Sorocabana,1,1
04/11/2015,Pinheiros,75,63,Minas,1,1
04/11/2015,Caxias do Sul,82,91,Brasília,1,1
04/11/2015,Basq. Cearense,83,76,Mogi,1,1
04/11/2015,Vitória,60,68,São José,1,1
05/11/2015,Bauru,88,64,Macaé,2,1
05/11/2015,Franca,65,89,Flamengo,2,1
05/11/2015,Rio Claro,67,74,Paulistano,2,1
06/11/2015,Pinheiros,68,93,Brasília,2,1
06/11/2015,Caxias do Sul,48,75,Minas,2,1
06/11/2015,Basq. Cearense,80,91,São José,2,1
06/11/2015,Vitória,64,83,Mogi,2,1
10/11/2015,Minas,75,85,Franca,3,1
10/11/2015,Mogi,83,52,Caxias do Sul,3,1
10/11/2015,São José,74,95,Pinheiros,3,1
11/11/2015,Paulistano,108,101,Basq. Cearense,3,1
11/11/2015,Macaé,84,80,Rio Claro,3,1
11/11/2015,L. Sorocabana,71,69,Vitória,3,1
12/11/2015,Minas,67,83,Bauru,4,1
12/11/2015,Mogi,86,83,Pinheiros,4,1
12/11/2015,São José,71,76,Caxias do Sul,4,1
13/11/2015,Paulistano,77,63,Vitória,4,1
13/11/2015,L. Sorocabana,70,78,Basq. Cearense,4,1
13/11/2015,Flamengo,102,70,Rio Claro,4,1
17/11/2015,São José,88,82,Rio Claro,5,1
17/11/2015,Basq. Cearense,81,85,Brasília,5,1
17/11/2015,Vitória,76,66,Minas,5,1
18/11/2015,Paulistano,84,82,Macaé,5,1
18/11/2015,Bauru,71,79,Pinheiros,5,1
18/11/2015,L. Sorocabana,68,76,Flamengo,5,1
19/11/2015,Basq. Cearense,64,69,Minas,6,1
19/11/2015,Vitória,83,73,Brasília,6,1
20/11/2015,Paulistano,67,60,Flamengo,6,1
20/11/2015,Bauru,78,51,Caxias do Sul,6,1
20/11/2015,L. Sorocabana,86,72,Macaé,6,1
25/11/2015,Brasília,94,106,Franca,4,1
27/11/2015,Brasília,111,114,Bauru,3,1
27/11/2015,Mogi,68,63,Rio Claro,6,1
28/11/2015,Franca,86,82,Caxias do Sul,5,1
30/11/2015,Franca,70,84,Pinheiros,6,1
01/12/2015,Rio Claro,63,72,Bauru,7,1
01/12/2015,Basq. Cearense,67,85,Flamengo,7,1
01/12/2015,Vitória,86,74,Macaé,7,1
02/12/2015,Pinheiros,73,59,L. Sorocabana,7,1
02/12/2015,Minas,74,71,Mogi,7,1
02/12/2015,Caxias do Sul,70,83,Paulistano,7,1
03/12/2015,Rio Claro,83,55,Franca,8,1
03/12/2015,Basq. Cearense,88,64,Macaé,8,1
03/12/2015,Vitória,70,96,Flamengo,8,1
04/12/2015,Minas,91,84,São José,8,1
04/12/2015,Caxias do Sul,78,69,L. Sorocabana,8,1
05/12/2015,Paulistano,101,77,Pinheiros,8,1
08/12/2015,Paulistano,82,50,Minas,9,1
08/12/2015,Flamengo,93,51,Caxias do Sul,9,1
08/12/2015,Macaé,101,97,Pinheiros,9,1
09/12/2015,Franca,91,79,São José,9,1
09/12/2015,Bauru,90,74,Mogi,9,1
09/12/2015,Rio Claro,68,77,Basq. Cearense,9,1
10/12/2015,L. Sorocabana,58,61,Minas,10,1
