Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Bauru Basket,2,0.00,94.50,39.00,49.00,6.50,36.50,7.00,29.50,28.50,12.00,2.38,94.50,13.00,30.00,43.33,24.50,36.00,68.06,6.50,10.00,65.00,1.00,7.50,0.63,2.50,18.50,0.14,12.00,1.50,125.50
Pato Basquete,3,0.00,94.33,36.00,44.67,13.67,34.33,9.33,25.00,16.00,9.33,1.71,94.33,12.00,30.00,40.00,22.33,36.33,61.47,13.67,18.67,73.21,1.67,6.33,0.68,1.00,18.67,0.05,9.33,2.33,105.67
Sesi Franca,2,0.00,92.50,28.50,44.00,20.00,36.00,8.00,28.00,18.50,11.50,1.61,92.50,9.50,23.50,40.43,22.00,36.50,60.27,20.00,26.00,76.92,0.50,5.50,0.48,3.00,20.00,0.15,11.50,3.00,109.50
Fortaleza B. C. / CFO,2,0.00,92.00,24.00,56.00,12.00,30.00,4.50,25.50,20.00,11.50,1.74,92.00,8.00,18.50,43.24,28.00,38.50,72.73,12.00,14.50,82.76,3.00,7.50,0.65,4.00,19.00,0.21,11.50,1.50,118.50
União Corinthians,2,0.00,84.50,24.00,51.00,9.50,33.50,13.00,20.50,18.00,11.50,1.57,84.50,8.00,23.50,34.04,25.50,49.00,52.04,9.50,13.50,70.37,1.00,7.00,0.61,1.50,21.50,0.07,11.50,1.00,90.00
Flamengo,2,0.00,84.50,37.50,33.00,14.00,36.00,11.00,25.00,18.50,15.00,1.23,84.50,12.50,31.50,39.68,16.50,29.00,56.90,14.00,18.50,75.68,2.50,9.00,0.60,1.00,17.50,0.06,15.00,1.50,98.00
BRB/Brasília,1,0.00,84.00,39.00,28.00,17.00,31.00,7.00,24.00,8.00,11.00,0.73,84.00,13.00,30.00,43.33,14.00,35.00,40.00,17.00,23.00,73.91,0.00,6.00,0.55,1.00,16.00,0.06,11.00,2.00,75.00
Botafogo,1,0.00,83.00,27.00,36.00,20.00,31.00,9.00,22.00,14.00,20.00,0.70,83.00,9.00,22.00,40.91,18.00,35.00,51.43,20.00,25.00,80.00,1.00,6.00,0.30,4.00,28.00,0.14,20.00,3.00,83.00
Minas,3,0.00,81.67,33.00,39.33,9.33,39.33,9.67,29.67,20.67,12.67,1.63,81.67,11.00,31.00,35.48,19.67,30.33,64.84,9.33,13.67,68.29,1.33,9.00,0.71,1.67,13.67,0.12,12.67,3.33,104.67
Corinthians,2,0.00,80.00,27.00,44.00,9.00,30.00,6.50,23.50,19.00,11.50,1.65,80.00,9.00,28.00,32.14,22.00,37.00,59.46,9.00,13.50,66.67,2.50,6.50,0.57,0.50,13.50,0.04,11.50,1.50,86.00
São Paulo,3,0.00,79.00,33.00,30.67,15.33,32.33,7.00,25.33,15.67,17.33,0.90,79.00,11.00,24.67,44.59,15.33,29.33,52.27,15.33,19.00,80.70,0.33,7.67,0.44,2.00,19.33,0.10,17.33,2.00,88.00
Caxias do Sul Basquete,2,0.00,74.00,22.50,34.00,17.50,33.00,13.00,20.00,16.00,12.00,1.33,74.00,7.50,21.50,34.88,17.00,40.00,42.50,17.50,24.00,72.92,2.00,5.50,0.46,1.00,20.00,0.05,12.00,1.50,74.00
Mogi,1,0.00,73.00,30.00,32.00,11.00,35.00,11.00,24.00,14.00,20.00,0.70,73.00,10.00,30.00,33.33,16.00,27.00,59.26,11.00,17.00,64.71,2.00,3.00,0.15,0.00,17.00,0.00,20.00,3.00,68.00
R10 Score Vasco da Gama,2,0.00,71.50,22.50,36.00,13.00,33.50,10.00,23.50,18.50,13.00,1.42,71.50,7.50,28.50,26.32,18.00,34.50,52.17,13.00,17.50,74.29,2.50,8.50,0.65,4.00,21.50,0.19,13.00,2.00,81.00
Cerrado,1,0.00,69.00,21.00,30.00,18.00,44.00,21.00,23.00,16.00,13.00,1.23,69.00,7.00,29.00,24.14,15.00,42.00,35.71,18.00,21.00,85.71,2.00,8.00,0.62,0.00,16.00,0.00,13.00,3.00,72.00
Paulistano,2,0.00,69.00,24.00,33.00,12.00,31.50,9.50,22.00,17.50,15.00,1.17,69.00,8.00,23.50,34.04,16.50,36.00,45.83,12.00,16.50,72.73,0.50,8.00,0.53,1.00,21.50,0.05,15.00,3.00,72.50
Pinheiros,2,0.00,65.00,18.00,38.00,9.00,32.50,10.50,22.00,14.00,12.50,1.12,65.00,6.00,24.00,25.00,19.00,38.00,50.00,9.00,13.00,69.23,0.50,5.00,0.40,1.50,20.00,0.08,12.50,2.50,64.50
Coop/São José Basketball,1,0.00,56.00,18.00,30.00,8.00,38.00,13.00,25.00,13.00,17.00,0.76,56.00,6.00,27.00,22.22,15.00,34.00,44.12,8.00,13.00,61.54,0.00,8.00,0.47,2.00,20.00,0.10,17.00,3.00,55.00
