Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
UNIFACISA,1,0.00,107.00,57.00,40.00,10.00,39.00,14.00,25.00,26.00,12.00,2.17,107.00,19.00,44.00,43.18,20.00,30.00,66.67,10.00,13.00,76.92,0.00,12.00,1.00,3.00,15.00,0.20,12.00,2.00,137.00
Sesi Franca,2,0.00,98.00,34.50,43.00,20.50,39.50,11.50,28.00,21.50,14.00,1.54,98.00,11.50,27.00,42.59,21.50,39.00,55.13,20.50,22.00,93.18,4.50,7.00,0.50,4.50,22.00,0.20,14.00,2.00,122.00
Minas,3,0.00,85.33,35.00,35.33,15.00,44.00,13.33,30.67,19.33,14.00,1.38,85.33,11.67,30.67,38.04,17.67,32.00,55.21,15.00,19.67,76.27,3.00,6.67,0.48,3.67,19.67,0.19,14.00,2.00,107.00
Pato Basquete,3,0.00,85.33,34.00,37.33,14.00,41.00,10.00,31.00,20.33,12.00,1.69,85.33,11.33,34.33,33.01,18.67,31.33,59.57,14.00,17.33,80.77,2.33,4.67,0.39,1.33,16.67,0.08,12.00,2.33,101.67
São Paulo,4,0.00,84.50,27.75,43.00,13.75,30.25,7.00,23.25,17.25,14.75,1.17,84.50,9.25,26.75,34.58,21.50,34.25,62.77,13.75,18.50,74.32,0.75,6.50,0.44,1.75,19.00,0.09,14.75,0.75,90.50
Flamengo,3,0.00,84.33,26.00,40.00,18.33,40.67,14.67,26.00,19.33,12.67,1.53,84.33,8.67,28.67,30.23,20.00,39.33,50.85,18.33,27.00,67.90,0.33,6.33,0.50,1.33,22.33,0.06,12.67,2.00,91.33
Bauru Basket,2,0.00,79.50,19.50,46.00,14.00,35.00,9.00,26.00,18.50,13.50,1.37,79.50,6.50,27.00,24.07,23.00,37.50,61.33,14.00,18.50,75.68,3.00,11.50,0.85,1.00,23.50,0.04,13.50,1.00,92.50
União Corinthians,1,0.00,79.00,12.00,44.00,23.00,31.00,8.00,23.00,16.00,13.00,1.23,79.00,4.00,23.00,17.39,22.00,40.00,55.00,23.00,26.00,88.46,1.00,7.00,0.54,0.00,29.00,0.00,13.00,4.00,80.00
Pinheiros,1,0.00,76.00,27.00,34.00,15.00,37.00,7.00,30.00,19.00,18.00,1.06,76.00,9.00,18.00,50.00,17.00,37.00,45.95,15.00,16.00,93.75,0.00,3.00,0.17,3.00,18.00,0.17,18.00,3.00,90.00
Caxias do Sul Basquete,1,0.00,75.00,15.00,36.00,24.00,43.00,13.00,30.00,11.00,19.00,0.58,75.00,5.00,22.00,22.73,18.00,35.00,51.43,24.00,34.00,70.59,1.00,5.00,0.26,3.00,27.00,0.11,19.00,6.00,74.00
Mogi,1,0.00,75.00,36.00,34.00,5.00,33.00,11.00,22.00,20.00,8.00,2.50,75.00,12.00,35.00,34.29,17.00,34.00,50.00,5.00,10.00,50.00,1.00,10.00,1.25,2.00,20.00,0.10,8.00,2.00,87.00
Fortaleza B. C. / CFO,1,0.00,75.00,21.00,38.00,16.00,32.00,7.00,25.00,12.00,9.00,1.33,75.00,7.00,28.00,25.00,19.00,32.00,59.38,16.00,25.00,64.00,2.00,8.00,0.89,3.00,21.00,0.14,9.00,1.00,78.00
Cerrado,1,0.00,75.00,12.00,54.00,9.00,38.00,12.00,26.00,17.00,12.00,1.42,75.00,4.00,24.00,16.67,27.00,44.00,61.36,9.00,15.00,60.00,3.00,10.00,0.83,0.00,16.00,0.00,12.00,3.00,85.00
Coop/São José Basketball,1,0.00,71.00,27.00,34.00,10.00,40.00,11.00,29.00,13.00,13.00,1.00,71.00,9.00,20.00,45.00,17.00,41.00,41.46,10.00,12.00,83.33,2.00,3.00,0.23,4.00,16.00,0.25,13.00,2.00,81.00
Corinthians,1,0.00,70.00,21.00,44.00,5.00,33.00,9.00,24.00,17.00,9.00,1.89,70.00,7.00,28.00,25.00,22.00,40.00,55.00,5.00,9.00,55.56,2.00,11.00,1.22,3.00,16.00,0.19,9.00,2.00,82.00
R10 Score Vasco da Gama,2,0.00,70.00,28.50,31.00,10.50,32.00,11.50,20.50,16.50,14.00,1.18,70.00,9.50,30.00,31.67,15.50,33.50,46.27,10.50,15.00,70.00,1.00,5.50,0.39,4.00,23.00,0.17,14.00,4.50,71.00
Paulistano,2,0.00,65.50,10.50,37.00,18.00,39.00,11.50,27.50,13.50,16.50,0.82,65.50,3.50,22.00,15.91,18.50,41.00,45.12,18.00,22.50,80.00,1.00,7.00,0.42,1.00,24.00,0.04,16.50,3.50,64.00
BRB/Brasília,1,0.00,65.00,24.00,38.00,3.00,29.00,8.00,21.00,19.00,13.00,1.46,65.00,8.00,28.00,28.57,19.00,33.00,57.58,3.00,5.00,60.00,2.00,3.00,0.23,1.00,20.00,0.05,13.00,3.00,68.00
Botafogo,1,0.00,52.00,15.00,22.00,15.00,31.00,10.00,21.00,12.00,15.00,0.80,52.00,5.00,27.00,18.52,11.00,29.00,37.93,15.00,27.00,55.56,0.00,6.00,0.40,2.00,20.00,0.10,15.00,8.00,36.00
