Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
R10 Score Vasco da Gama,1,0.00,84.00,24.00,36.00,24.00,37.00,9.00,28.00,15.00,13.00,1.15,84.00,8.00,27.00,29.63,18.00,37.00,48.65,24.00,31.00,77.42,1.00,8.00,0.62,2.00,20.00,0.10,13.00,3.00,88.00
Minas,1,0.00,84.00,30.00,36.00,18.00,45.00,11.00,34.00,17.00,9.00,1.89,84.00,10.00,36.00,27.78,18.00,34.00,52.94,18.00,20.00,90.00,2.00,7.00,0.78,3.00,16.00,0.19,9.00,2.00,103.00
Flamengo,1,0.00,79.00,24.00,48.00,7.00,38.00,8.00,30.00,19.00,14.00,1.36,79.00,8.00,24.00,33.33,24.00,35.00,68.57,7.00,12.00,58.33,1.00,11.00,0.79,0.00,20.00,0.00,14.00,0.00,101.00
Bauru Basket,1,0.00,78.00,24.00,38.00,16.00,46.00,14.00,32.00,17.00,17.00,1.00,78.00,8.00,27.00,29.63,19.00,43.00,44.19,16.00,19.00,84.21,1.00,7.00,0.41,4.00,29.00,0.14,17.00,2.00,89.00
Fortaleza B. C. / CFO,1,0.00,71.00,36.00,28.00,7.00,31.00,8.00,23.00,15.00,15.00,1.00,71.00,12.00,33.00,36.36,14.00,28.00,50.00,7.00,11.00,63.64,1.00,9.00,0.60,3.00,15.00,0.20,15.00,0.00,75.00
Sesi Franca,1,0.00,64.00,21.00,32.00,11.00,38.00,7.00,31.00,11.00,15.00,0.73,64.00,7.00,24.00,29.17,16.00,31.00,51.61,11.00,14.00,78.57,0.00,3.00,0.20,2.00,19.00,0.11,15.00,4.00,68.00
Paulistano,1,0.00,61.00,18.00,36.00,7.00,40.00,15.00,25.00,9.00,10.00,0.90,61.00,6.00,28.00,21.43,18.00,41.00,43.90,7.00,12.00,58.33,1.00,4.00,0.40,3.00,18.00,0.17,10.00,2.00,57.00
São Paulo,1,0.00,59.00,27.00,30.00,2.00,37.00,5.00,32.00,16.00,14.00,1.14,59.00,9.00,34.00,26.47,15.00,26.00,57.69,2.00,7.00,28.57,1.00,5.00,0.36,1.00,20.00,0.05,14.00,0.00,63.00
