Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Paulistano,1,0.00,92.00,27.00,50.00,15.00,37.00,17.00,20.00,16.00,13.00,1.23,92.00,9.00,28.00,32.14,25.00,37.00,67.57,15.00,20.00,75.00,3.00,7.00,0.54,7.00,21.00,0.33,13.00,2.00,110.00
Pato Basquete,1,0.00,78.00,18.00,42.00,18.00,32.00,17.00,15.00,9.00,12.00,0.75,78.00,6.00,27.00,22.22,21.00,40.00,52.50,18.00,19.00,94.74,0.00,7.00,0.58,2.00,24.00,0.08,12.00,3.00,75.00
Bauru Basket,1,0.00,71.00,27.00,30.00,14.00,40.00,9.00,31.00,18.00,14.00,1.29,71.00,9.00,28.00,32.14,15.00,30.00,50.00,14.00,17.00,82.35,0.00,7.00,0.50,1.00,19.00,0.05,14.00,4.00,86.00
Coop/São José Basketball,1,0.00,66.00,27.00,26.00,13.00,35.00,10.00,25.00,14.00,16.00,0.88,66.00,9.00,25.00,36.00,13.00,32.00,40.63,13.00,21.00,61.90,1.00,7.00,0.44,2.00,20.00,0.10,16.00,3.00,65.00
