Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Minas,1,0.00,104.00,42.00,52.00,10.00,53.00,16.00,37.00,28.00,7.00,4.00,104.00,14.00,35.00,40.00,26.00,44.00,59.09,10.00,15.00,66.67,5.00,15.00,2.14,3.00,15.00,0.20,7.00,3.00,152.00
BRB/Brasília,1,0.00,96.00,30.00,52.00,14.00,44.00,17.00,27.00,25.00,13.00,1.92,96.00,10.00,31.00,32.26,26.00,46.00,56.52,14.00,22.00,63.64,4.00,5.00,0.38,2.00,21.00,0.10,13.00,2.00,110.00
São Paulo,2,0.00,89.50,34.50,41.00,14.00,43.00,7.50,35.50,17.50,10.00,1.75,89.50,11.50,26.50,43.40,20.50,39.00,52.56,14.00,17.00,82.35,0.50,4.50,0.45,2.00,18.50,0.11,10.00,3.00,110.00
Cerrado,1,0.00,88.00,36.00,30.00,22.00,35.00,7.00,28.00,20.00,18.00,1.11,88.00,12.00,29.00,41.38,15.00,28.00,53.57,22.00,32.00,68.75,2.00,8.00,0.44,0.00,21.00,0.00,18.00,6.00,93.00
Sesi Franca,2,0.00,86.50,37.50,32.00,17.00,35.00,7.50,27.50,19.00,8.00,2.38,86.50,12.50,30.50,40.98,16.00,33.00,48.48,17.00,21.50,79.07,0.00,7.00,0.88,1.50,14.50,0.10,8.00,2.00,101.50
Corinthians,2,0.00,86.50,37.50,34.00,15.00,43.50,8.50,35.00,14.00,21.50,0.65,86.50,12.50,29.50,42.37,17.00,29.00,58.62,15.00,22.50,66.67,1.00,7.00,0.33,3.00,17.50,0.17,21.50,4.00,96.00
Bauru Basket,2,0.00,85.00,27.00,47.00,11.00,36.00,8.00,28.00,16.50,8.50,1.94,85.00,9.00,25.00,36.00,23.50,35.00,67.14,11.00,17.50,62.86,3.50,6.00,0.71,0.50,17.50,0.03,8.50,1.50,101.50
UNIFACISA,2,0.00,82.50,31.50,39.00,12.00,30.50,10.00,20.50,16.00,15.00,1.07,82.50,10.50,30.50,34.43,19.50,33.00,59.09,12.00,16.50,72.73,1.00,8.50,0.57,0.50,18.00,0.03,15.00,1.00,85.00
Pinheiros,2,0.00,81.50,31.50,38.00,12.00,43.50,12.00,31.50,18.50,18.00,1.03,81.50,10.50,28.50,36.84,19.00,36.50,52.05,12.00,17.50,68.57,2.00,6.00,0.33,1.00,24.00,0.04,18.00,2.00,91.50
Flamengo,1,0.00,79.00,30.00,38.00,11.00,38.00,8.00,30.00,22.00,11.00,2.00,79.00,10.00,33.00,30.30,19.00,30.00,63.33,11.00,16.00,68.75,1.00,12.00,1.09,1.00,11.00,0.09,11.00,1.00,102.00
Fortaleza B. C. / CFO,2,0.00,78.50,13.50,55.00,10.00,53.00,17.50,35.50,13.50,11.00,1.23,78.50,4.50,25.50,17.65,27.50,53.50,51.40,10.00,20.00,50.00,1.00,10.00,0.91,1.50,23.00,0.07,11.00,2.00,88.50
União Corinthians,2,0.00,72.50,36.00,30.00,6.50,29.50,4.00,25.50,19.50,12.50,1.56,72.50,12.00,27.00,44.44,15.00,34.50,43.48,6.50,8.50,76.47,2.50,5.00,0.40,2.00,22.00,0.09,12.50,1.50,79.50
Pato Basquete,2,0.00,69.50,33.00,28.00,8.50,35.50,10.00,25.50,12.00,16.50,0.73,69.50,11.00,30.50,36.07,14.00,33.00,42.42,8.50,18.00,47.22,0.00,6.00,0.36,0.00,17.50,0.00,16.50,4.50,58.50
Caxias do Sul Basquete,2,0.00,68.00,24.00,31.00,13.00,36.00,8.00,28.00,10.50,9.50,1.11,68.00,8.00,24.50,32.65,15.50,40.00,38.75,13.00,19.50,66.67,0.50,6.50,0.68,1.50,15.50,0.10,9.50,4.00,65.50
Paulistano,1,0.00,63.00,27.00,30.00,6.00,37.00,8.00,29.00,11.00,15.00,0.73,63.00,9.00,25.00,36.00,15.00,31.00,48.39,6.00,10.00,60.00,1.00,2.00,0.13,1.00,18.00,0.06,15.00,2.00,63.00
Rio Claro,2,0.00,61.00,13.50,32.00,15.50,31.50,11.50,20.00,10.50,13.00,0.81,61.00,4.50,26.00,17.31,16.00,35.50,45.07,15.50,23.50,65.96,0.50,7.00,0.54,1.50,22.50,0.07,13.00,3.00,49.50
Coop/São José Basketball,1,0.00,53.00,12.00,34.00,7.00,43.00,18.00,25.00,13.00,18.00,0.72,53.00,4.00,28.00,14.29,17.00,46.00,36.96,7.00,11.00,63.64,0.00,4.00,0.22,4.00,16.00,0.25,18.00,2.00,42.00
