Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Cerrado,1,0.00,109.00,54.00,46.00,9.00,36.00,4.00,32.00,25.00,13.00,1.92,109.00,18.00,36.00,50.00,23.00,34.00,67.65,9.00,14.00,64.29,2.00,8.00,0.62,1.00,20.00,0.05,13.00,1.00,132.00
Sesi Franca,2,0.00,90.50,25.50,44.00,21.00,46.00,14.50,31.50,21.50,13.50,1.59,90.50,8.50,28.00,30.36,22.00,39.50,55.70,21.00,29.00,72.41,1.50,5.50,0.41,2.00,19.50,0.10,13.50,1.50,107.00
Pato Basquete,1,0.00,90.00,30.00,50.00,10.00,38.00,12.00,26.00,24.00,10.00,2.40,90.00,10.00,30.00,33.33,25.00,43.00,58.14,10.00,19.00,52.63,1.00,11.00,1.10,2.00,22.00,0.09,10.00,2.00,108.00
Rio Claro,2,0.00,88.00,27.00,45.00,16.00,43.00,12.50,30.50,18.00,12.50,1.44,88.00,9.00,29.00,31.03,22.50,43.50,51.72,16.00,20.50,78.05,1.00,6.50,0.52,0.50,21.00,0.02,12.50,2.50,98.00
Flamengo,2,0.00,87.50,30.00,48.00,9.50,44.00,16.50,27.50,22.00,10.00,2.20,87.50,10.00,31.50,31.75,24.00,41.00,58.54,9.50,12.00,79.17,1.00,4.00,0.40,1.00,17.50,0.06,10.00,1.00,107.50
Corinthians,1,0.00,86.00,30.00,44.00,12.00,29.00,10.00,19.00,20.00,8.00,2.50,86.00,10.00,34.00,29.41,22.00,36.00,61.11,12.00,18.00,66.67,3.00,8.00,1.00,3.00,25.00,0.12,8.00,2.00,94.00
Minas,2,0.00,85.00,28.50,40.00,16.50,38.00,9.50,28.50,19.50,16.50,1.18,85.00,9.50,25.50,37.25,20.00,33.00,60.61,16.50,23.50,70.21,2.00,4.50,0.27,1.00,19.50,0.05,16.50,4.00,95.50
União Corinthians,2,0.00,82.50,31.50,42.00,9.00,33.50,4.50,29.00,20.00,13.50,1.48,82.50,10.50,30.00,35.00,21.00,35.00,60.00,9.00,13.50,66.67,3.50,5.50,0.41,2.00,23.00,0.09,13.50,1.00,92.00
Bauru Basket,1,0.00,82.00,42.00,26.00,14.00,29.00,8.00,21.00,21.00,13.00,1.62,82.00,14.00,33.00,42.42,13.00,27.00,48.15,14.00,18.00,77.78,3.00,13.00,1.00,2.00,16.00,0.13,13.00,2.00,97.00
Coop/São José Basketball,3,0.00,80.00,31.00,38.00,11.00,39.33,13.00,26.33,20.33,13.00,1.56,80.00,10.33,27.33,37.80,19.00,40.00,47.50,11.00,17.33,63.46,1.00,5.33,0.41,4.33,22.00,0.20,13.00,1.00,92.00
São Paulo,2,0.00,77.00,28.50,35.00,13.50,27.50,7.00,20.50,18.50,13.50,1.37,77.00,9.50,25.50,37.25,17.50,33.50,52.24,13.50,17.50,77.14,0.00,7.00,0.52,2.00,19.50,0.10,13.50,5.50,82.50
BRB/Brasília,1,0.00,74.00,27.00,32.00,15.00,42.00,14.00,28.00,19.00,15.00,1.27,74.00,9.00,32.00,28.13,16.00,38.00,42.11,15.00,25.00,60.00,0.00,5.00,0.33,3.00,22.00,0.14,15.00,2.00,73.00
UNIFACISA,2,0.00,71.50,27.00,32.00,12.50,41.50,10.00,31.50,11.00,15.50,0.71,71.50,9.00,25.50,35.29,16.00,38.50,41.56,12.50,16.00,78.13,0.50,6.00,0.39,1.00,18.50,0.05,15.50,2.00,73.00
Pinheiros,1,0.00,71.00,18.00,44.00,9.00,39.00,11.00,28.00,17.00,18.00,0.94,71.00,6.00,19.00,31.58,22.00,37.00,59.46,9.00,17.00,52.94,0.00,7.00,0.39,2.00,23.00,0.09,18.00,2.00,82.00
Caxias do Sul Basquete,1,0.00,55.00,21.00,30.00,4.00,34.00,7.00,27.00,11.00,16.00,0.69,55.00,7.00,28.00,25.00,15.00,29.00,51.72,4.00,12.00,33.33,1.00,12.00,0.75,2.00,17.00,0.12,16.00,3.00,55.00
