Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Minas,1,0.00,103.00,39.00,40.00,24.00,40.00,10.00,30.00,22.00,9.00,2.44,103.00,13.00,28.00,46.43,20.00,37.00,54.05,24.00,29.00,82.76,0.00,4.00,0.44,1.00,20.00,0.05,9.00,1.00,124.00
São Paulo,1,0.00,96.00,57.00,28.00,11.00,30.00,3.00,27.00,21.00,8.00,2.63,96.00,19.00,40.00,47.50,14.00,22.00,63.64,11.00,12.00,91.67,1.00,9.00,1.13,0.00,20.00,0.00,8.00,0.00,118.00
Sesi Franca,1,0.00,89.00,33.00,44.00,12.00,30.00,6.00,24.00,25.00,7.00,3.57,89.00,11.00,32.00,34.38,22.00,37.00,59.46,12.00,16.00,75.00,2.00,4.00,0.57,3.00,22.00,0.14,7.00,1.00,104.00
Flamengo,1,0.00,79.00,36.00,32.00,11.00,43.00,17.00,26.00,23.00,15.00,1.53,79.00,12.00,41.00,29.27,16.00,28.00,57.14,11.00,15.00,73.33,1.00,6.00,0.40,0.00,16.00,0.00,15.00,1.00,91.00
