Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Cerrado,2,0.00,99.00,45.00,41.00,13.00,37.50,12.00,25.50,20.00,13.00,1.54,99.00,15.00,37.00,40.54,20.50,37.00,55.41,13.00,18.50,70.27,2.50,7.50,0.58,2.50,15.50,0.16,13.00,4.50,109.50
Corinthians,2,0.00,90.00,27.00,49.00,14.00,45.00,11.50,33.50,16.50,13.50,1.22,90.00,9.00,27.00,33.33,24.50,44.00,55.68,14.00,17.50,80.00,4.00,4.00,0.30,3.00,20.50,0.15,13.50,2.00,104.00
Minas,1,0.00,88.00,48.00,34.00,6.00,35.00,7.00,28.00,21.00,16.00,1.31,88.00,16.00,30.00,53.33,17.00,32.00,53.13,6.00,14.00,42.86,5.00,5.00,0.31,2.00,19.00,0.11,16.00,2.00,98.00
Fortaleza B. C. / CFO,1,0.00,88.00,33.00,42.00,13.00,53.00,18.00,35.00,17.00,12.00,1.42,88.00,11.00,29.00,37.93,21.00,44.00,47.73,13.00,27.00,48.15,3.00,6.00,0.50,1.00,20.00,0.05,12.00,1.00,98.00
Pato Basquete,2,0.00,88.00,27.00,46.00,15.00,29.00,6.50,22.50,15.00,15.50,0.97,88.00,9.00,24.00,37.50,23.00,40.50,56.79,15.00,18.50,81.08,0.00,6.50,0.42,1.00,18.50,0.05,15.50,5.00,88.00
BRB/Brasília,2,0.00,83.50,25.50,48.00,10.00,37.00,9.00,28.00,22.00,13.50,1.63,83.50,8.50,26.50,32.08,24.00,42.50,56.47,10.00,15.50,64.52,2.00,5.50,0.41,3.00,20.50,0.15,13.50,2.50,95.50
UNIFACISA,2,0.00,83.00,30.00,42.00,11.00,40.50,13.50,27.00,12.00,12.50,0.96,83.00,10.00,32.50,30.77,21.00,42.00,50.00,11.00,14.00,78.57,1.50,8.00,0.64,1.50,21.50,0.07,12.50,2.00,86.00
Paulistano,1,0.00,78.00,24.00,44.00,10.00,39.00,15.00,24.00,17.00,10.00,1.70,78.00,8.00,27.00,29.63,22.00,50.00,44.00,10.00,15.00,66.67,0.00,13.00,1.30,4.00,12.00,0.33,10.00,0.00,89.00
Pinheiros,2,0.00,78.00,24.00,38.00,16.00,46.00,14.00,32.00,14.00,18.00,0.78,78.00,8.00,26.50,30.19,19.00,41.00,46.34,16.00,22.50,71.11,1.50,8.00,0.44,3.00,23.00,0.13,18.00,5.50,84.00
São Paulo,1,0.00,77.00,24.00,44.00,9.00,45.00,11.00,34.00,11.00,21.00,0.52,77.00,8.00,26.00,30.77,22.00,37.00,59.46,9.00,11.00,81.82,1.00,7.00,0.33,4.00,16.00,0.25,21.00,2.00,88.00
Bauru Basket,2,0.00,76.50,31.50,33.00,12.00,37.00,9.50,27.50,19.50,11.50,1.70,76.50,10.50,30.50,34.43,16.50,29.50,55.93,12.00,18.00,66.67,1.50,7.50,0.65,2.00,19.50,0.10,11.50,1.50,92.00
União Corinthians,2,0.00,68.50,24.00,28.00,16.50,40.00,11.50,28.50,14.50,17.50,0.83,68.50,8.00,30.50,26.23,14.00,31.00,45.16,16.50,21.50,76.74,0.50,7.50,0.43,1.00,21.00,0.05,17.50,2.00,69.50
Caxias do Sul Basquete,2,0.00,65.00,15.00,32.00,18.00,37.00,9.00,28.00,6.50,14.00,0.46,65.00,5.00,21.50,23.26,16.00,37.00,43.24,18.00,22.50,80.00,1.00,7.50,0.54,2.50,18.50,0.14,14.00,4.00,62.50
