Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Sesi Franca,2,0.00,98.50,28.50,56.00,14.00,42.00,7.00,35.00,22.00,10.50,2.10,98.50,9.50,30.00,31.67,28.00,40.50,69.14,14.00,17.00,82.35,7.00,6.50,0.62,4.00,19.00,0.21,10.50,2.00,126.50
Minas,2,0.00,91.00,27.00,56.00,8.00,41.00,12.00,29.00,19.00,13.50,1.41,91.00,9.00,24.50,36.73,28.00,43.00,65.12,8.00,11.50,69.57,4.00,6.50,0.48,1.50,13.00,0.12,13.50,4.50,111.50
BRB/Brasília,2,0.00,90.50,27.00,47.00,16.50,44.00,14.00,30.00,20.00,13.50,1.48,90.50,9.00,28.00,32.14,23.50,44.00,53.41,16.50,23.00,71.74,3.50,5.50,0.41,2.50,21.00,0.12,13.50,1.00,103.00
Flamengo,2,0.00,90.50,43.50,33.00,14.00,40.00,9.50,30.50,20.00,11.00,1.82,90.50,14.50,35.00,41.43,16.50,27.00,61.11,14.00,18.00,77.78,0.00,6.50,0.59,1.00,15.00,0.07,11.00,1.00,112.00
Rio Claro,2,0.00,89.00,25.50,53.00,10.50,28.50,8.00,20.50,22.00,8.50,2.59,89.00,8.50,21.50,39.53,26.50,46.00,57.61,10.50,16.50,63.64,1.50,10.50,1.24,3.00,23.50,0.13,8.50,1.50,106.00
Fortaleza B. C. / CFO,2,0.00,83.50,19.50,52.00,12.00,43.00,15.50,27.50,16.50,19.00,0.87,83.50,6.50,22.00,29.55,26.00,44.50,58.43,12.00,19.50,61.54,2.50,7.00,0.37,2.50,27.00,0.09,19.00,2.50,92.00
Cerrado,2,0.00,83.00,43.50,32.00,7.50,38.50,14.50,24.00,13.50,16.50,0.82,83.00,14.50,42.50,34.12,16.00,27.50,58.18,7.50,13.00,57.69,2.00,5.00,0.30,2.00,13.00,0.15,16.50,2.50,80.50
São Paulo,2,0.00,81.00,25.50,46.00,9.50,39.00,12.00,27.00,15.00,9.50,1.58,81.00,8.50,27.50,30.91,23.00,43.00,53.49,9.50,13.00,73.08,2.50,7.00,0.74,1.50,19.00,0.08,9.50,0.50,91.50
União Corinthians,2,0.00,80.00,33.00,33.00,14.00,33.00,8.50,24.50,18.00,14.50,1.24,80.00,11.00,28.50,38.60,16.50,31.00,53.23,14.00,23.00,60.87,3.50,10.50,0.72,1.50,22.50,0.07,14.50,2.50,87.50
Pato Basquete,2,0.00,79.50,37.50,35.00,7.00,27.50,9.00,18.50,16.00,16.00,1.00,79.50,12.50,29.00,43.10,17.50,30.00,58.33,7.00,10.00,70.00,0.50,4.00,0.25,0.50,21.50,0.02,16.00,3.50,79.50
Paulistano,2,0.00,78.00,27.00,45.00,6.00,40.00,13.50,26.50,14.00,12.00,1.17,78.00,9.00,24.50,36.73,22.50,48.00,46.88,6.00,8.00,75.00,1.00,8.00,0.67,3.50,17.50,0.20,12.00,1.50,88.50
Bauru Basket,3,0.00,77.67,31.00,30.00,16.67,29.33,7.67,21.67,15.00,13.00,1.15,77.67,10.33,29.00,35.63,15.00,28.67,52.33,16.67,18.67,89.29,1.00,9.00,0.69,2.00,21.00,0.10,13.00,2.00,85.67
Corinthians,2,0.00,71.00,18.00,34.00,19.00,34.00,10.00,24.00,13.50,14.50,0.93,71.00,6.00,25.00,24.00,17.00,36.00,47.22,19.00,21.50,88.37,2.50,4.50,0.31,2.00,16.00,0.13,14.50,3.00,70.00
Pinheiros,1,0.00,68.00,15.00,40.00,13.00,41.00,14.00,27.00,9.00,14.00,0.64,68.00,5.00,18.00,27.78,20.00,43.00,46.51,13.00,22.00,59.09,0.00,8.00,0.57,4.00,17.00,0.24,14.00,1.00,71.00
UNIFACISA,2,0.00,67.00,22.50,30.00,14.50,41.50,12.50,29.00,12.00,16.50,0.73,67.00,7.50,28.00,26.79,15.00,32.00,46.88,14.50,17.50,82.86,0.50,7.00,0.42,1.00,15.50,0.06,16.50,2.50,71.50
Coop/São José Basketball,2,0.00,65.00,16.50,43.00,5.50,41.00,16.00,25.00,15.50,14.00,1.11,65.00,5.50,22.00,25.00,21.50,49.00,43.88,5.50,13.00,42.31,2.00,6.00,0.43,3.00,17.00,0.18,14.00,1.00,65.00
Caxias do Sul Basquete,2,0.00,64.50,13.50,38.00,13.00,31.50,10.00,21.50,8.50,16.00,0.53,64.50,4.50,21.00,21.43,19.00,38.50,49.35,13.00,18.00,72.22,0.50,9.50,0.59,2.00,19.00,0.11,16.00,2.00,59.00
