Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Coop/São José Basketball,2,0.00,92.00,31.50,50.00,10.50,35.00,11.50,23.50,23.00,14.50,1.59,92.00,10.50,24.00,43.75,25.00,44.00,56.82,10.50,14.00,75.00,3.00,13.00,0.90,2.50,18.00,0.14,14.50,1.00,115.00
UNIFACISA,2,0.00,92.00,33.00,50.00,9.00,42.50,9.50,33.00,22.50,13.00,1.73,92.00,11.00,31.00,35.48,25.00,41.00,60.98,9.00,11.50,78.26,1.50,8.50,0.65,4.00,19.50,0.21,13.00,3.50,118.00
São Paulo,2,0.00,88.00,37.50,38.00,12.50,33.50,7.50,26.00,23.50,14.00,1.68,88.00,12.50,28.00,44.64,19.00,33.50,56.72,12.50,16.00,78.13,1.50,9.50,0.68,2.00,18.00,0.11,14.00,1.50,109.00
BRB/Brasília,2,0.00,84.00,39.00,31.00,14.00,30.00,8.50,21.50,13.50,11.50,1.17,84.00,13.00,36.00,36.11,15.50,31.50,49.21,14.00,17.00,82.35,2.00,5.50,0.48,2.00,17.00,0.12,11.50,1.50,81.50
Corinthians,1,0.00,81.00,21.00,44.00,16.00,32.00,7.00,25.00,20.00,22.00,0.91,81.00,7.00,19.00,36.84,22.00,34.00,64.71,16.00,23.00,69.57,9.00,6.00,0.27,6.00,19.00,0.32,22.00,1.00,92.00
Cerrado,2,0.00,80.50,34.50,32.00,14.00,43.00,10.50,32.50,16.50,16.50,1.00,80.50,11.50,30.00,38.33,16.00,33.50,47.76,14.00,18.00,77.78,3.00,5.00,0.30,2.50,14.00,0.18,16.50,3.00,91.00
Flamengo,2,0.00,79.50,36.00,36.00,7.50,41.00,14.00,27.00,22.00,10.50,2.10,79.50,12.00,39.00,30.77,18.00,28.50,63.16,7.50,12.00,62.50,0.50,5.50,0.52,2.50,15.00,0.17,10.50,1.00,98.00
Fortaleza B. C. / CFO,2,0.00,75.00,24.00,40.00,11.00,39.50,12.50,27.00,14.50,13.50,1.07,75.00,8.00,25.50,31.37,20.00,39.50,50.63,11.00,17.50,62.86,1.50,8.00,0.59,3.00,18.00,0.17,13.50,4.00,83.00
Rio Claro,2,0.00,71.00,22.50,39.00,9.50,34.00,10.50,23.50,18.50,15.00,1.23,71.00,7.50,22.00,34.09,19.50,40.50,48.15,9.50,14.00,67.86,1.50,5.50,0.37,0.50,21.50,0.02,15.00,3.00,74.50
Pato Basquete,3,0.00,71.00,22.00,44.00,5.00,35.33,14.33,21.00,14.00,15.33,0.91,71.00,7.33,23.67,30.99,22.00,44.67,49.25,5.00,10.67,46.88,0.00,8.67,0.57,1.00,15.00,0.07,15.33,1.67,70.00
Sesi Franca,1,0.00,70.00,15.00,32.00,23.00,46.00,11.00,35.00,9.00,17.00,0.53,70.00,5.00,20.00,25.00,16.00,38.00,42.11,23.00,26.00,88.46,0.00,5.00,0.29,4.00,17.00,0.24,17.00,3.00,77.00
Paulistano,2,0.00,70.00,15.00,39.00,16.00,46.00,18.50,27.50,11.50,10.00,1.15,70.00,5.00,25.50,19.61,19.50,48.00,40.63,16.00,20.50,78.05,2.00,6.00,0.60,3.50,21.00,0.17,10.00,2.50,73.50
Minas,2,0.00,68.50,21.00,31.00,16.50,41.50,11.00,30.50,19.00,13.00,1.46,68.50,7.00,23.50,29.79,15.50,35.00,44.29,16.50,22.00,75.00,0.50,5.50,0.42,2.00,19.50,0.10,13.00,2.00,82.00
Pinheiros,2,0.00,66.50,27.00,28.00,11.50,41.00,13.00,28.00,18.50,13.50,1.37,66.50,9.00,28.50,31.58,14.00,34.00,41.18,11.50,17.50,65.71,2.00,7.00,0.52,1.50,21.50,0.07,13.50,2.00,75.50
Bauru Basket,1,0.00,58.00,21.00,32.00,5.00,32.00,5.00,27.00,19.00,13.00,1.46,58.00,7.00,26.00,26.92,16.00,33.00,48.48,5.00,13.00,38.46,1.00,8.00,0.62,1.00,21.00,0.05,13.00,1.00,61.00
