Data,Equipe_Casa,Pontos_Casa,Pontos_Visitante,Equipe_Visitante,Rodada,Etapa
19/11/2011,Tijuca,71,104,Pinheiros,1,1
19/11/2011,Flamengo,88,78,Paulistano,1,1
19/11/2011,Uberlândia,102,69,Araraquara,1,1
21/11/2011,Joinville,70,82,Brasília,2,1
21/11/2011,Franca,87,81,Araraquara,2,1
21/11/2011,São José,68,65,Minas,2,1
21/11/2011,Uberlândia,87,82,Limeira,2,1
21/11/2011,Tijuca,63,81,Paulistano,2,1
21/11/2011,Bauru,91,77,Espírito Santo,2,1
21/11/2011,Flamengo,84,89,Pinheiros,2,1
24/11/2011,L. Sorocabana,62,81,São José,3,1
24/11/2011,Espírito Santo,75,73,Araraquara,3,1
24/11/2011,Minas,70,83,Flamengo,3,1
24/11/2011,Brasília,109,78,Tijuca,3,1
24/11/2011,Pinheiros,81,90,Uberlândia,3,1
24/11/2011,Bauru,85,70,Joinville,3,1
26/11/2011,Flamengo,110,72,Brasília,4,1
26/11/2011,L. Sorocabana,77,63,Joinville,4,1
26/11/2011,Bauru,84,78,São José,4,1
26/11/2011,Minas,62,73,Tijuca,4,1
26/11/2011,Paulistano,94,81,Uberlândia,4,1
26/11/2011,Pinheiros,102,69,Franca,4,1
26/11/2011,Espírito Santo,51,99,Limeira,4,1
28/11/2011,Paulistano,82,71,Franca,3,1
29/11/2011,L. Sorocabana,88,64,Espírito Santo,1,1
01/12/2011,Tijuca,85,78,L. Sorocabana,5,1
01/12/2011,Franca,77,89,Minas,5,1
01/12/2011,São José,87,47,Espírito Santo,5,1
01/12/2011,Uberlândia,84,73,Brasília,5,1
01/12/2011,Araraquara,83,106,Pinheiros,5,1
01/12/2011,Flamengo,81,66,Bauru,5,1
01/12/2011,Limeira,86,70,Paulistano,5,1
03/12/2011,Tijuca,66,72,Bauru,6,1
03/12/2011,Uberlândia,86,73,Minas,6,1
03/12/2011,Franca,95,104,Brasília,6,1
03/12/2011,Araraquara,90,107,Paulistano,6,1
03/12/2011,Flamengo,93,55,L. Sorocabana,6,1
03/12/2011,Joinville,76,72,Espírito Santo,6,1
05/12/2011,Franca,75,96,Limeira,1,1
08/12/2011,L. Sorocabana,91,80,Uberlândia,7,1
08/12/2011,Bauru,92,82,Franca,7,1
08/12/2011,Espírito Santo,54,86,Pinheiros,7,1
08/12/2011,São José,108,91,Tijuca,7,1
08/12/2011,Brasília,97,79,Araraquara,7,1
08/12/2011,Joinville,65,88,Flamengo,7,1
08/12/2011,Minas,96,93,Limeira,7,1
10/12/2011,Espírito Santo,78,81,Paulistano,8,1
10/12/2011,Bauru,84,86,Uberlândia,8,1
10/12/2011,L. Sorocabana,70,80,Franca,8,1
10/12/2011,Minas,83,72,Araraquara,8,1
10/12/2011,São José,98,101,Flamengo,8,1
10/12/2011,Joinville,74,72,Tijuca,8,1
10/12/2011,Brasília,82,76,Limeira,8,1
12/12/2011,Limeira,73,77,Pinheiros,6,1
13/12/2011,São José,87,78,Brasília,1,1
13/12/2011,Joinville,81,70,Minas,1,1
15/12/2011,Pinheiros,70,68,Brasília,9,1
15/12/2011,Tijuca,76,64,Espírito Santo,9,1
15/12/2011,Franca,91,87,Joinville,9,1
15/12/2011,Paulistano,88,83,Minas,9,1
15/12/2011,Uberlândia,97,94,São José,9,1
15/12/2011,Limeira,69,75,Bauru,9,1
15/12/2011,Araraquara,72,78,L. Sorocabana,9,1
17/12/2011,Franca,76,87,São José,10,1
17/12/2011,Flamengo,103,41,Espírito Santo,10,1
17/12/2011,Paulistano,120,93,Brasília,10,1
17/12/2011,Uberlândia,83,76,Joinville,10,1
17/12/2011,Pinheiros,97,90,Minas,10,1
17/12/2011,Araraquara,81,92,Bauru,10,1
17/12/2011,Limeira,107,77,L. Sorocabana,10,1
05/01/2012,Tijuca,69,103,Uberlândia,11,1
05/01/2012,Bauru,96,73,Paulistano,11,1
05/01/2012,L. Sorocabana,99,95,Pinheiros,11,1
05/01/2012,São José,100,77,Araraquara,11,1
05/01/2012,Joinville,70,55,Limeira,11,1
05/01/2012,Flamengo,93,81,Franca,11,1
07/01/2012,Flamengo,81,89,Uberlândia,12,1
07/01/2012,L. Sorocabana,74,103,Paulistano,12,1
07/01/2012,Bauru,99,82,Pinheiros,12,1
07/01/2012,São José,102,85,Limeira,12,1
07/01/2012,Joinville,69,50,Araraquara,12,1
07/01/2012,Espírito Santo,78,84,Minas,12,1
07/01/2012,Tijuca,102,98,Franca,12,1
12/01/2012,Limeira,80,91,Flamengo,13,1
12/01/2012,Minas,70,78,Bauru,13,1
12/01/2012,Paulistano,90,79,Joinville,13,1
12/01/2012,Uberlândia,100,63,Espírito Santo,13,1
12/01/2012,Brasília,68,63,L. Sorocabana,13,1
12/01/2012,Araraquara,81,77,Tijuca,13,1
12/01/2012,Pinheiros,82,75,São José,13,1
14/01/2012,Franca,79,44,Espírito Santo,14,1
14/01/2012,Brasília,88,81,Bauru,14,1
14/01/2012,Minas,84,77,L. Sorocabana,14,1
14/01/2012,Paulistano,73,93,São José,14,1
14/01/2012,Pinheiros,89,76,Joinville,14,1
14/01/2012,Araraquara,52,99,Flamengo,14,1
14/01/2012,Limeira,79,65,Tijuca,14,1
19/01/2012,Flamengo,86,71,Tijuca,15,1
19/01/2012,Bauru,104,59,L. Sorocabana,15,1
19/01/2012,Minas,69,81,Brasília,15,1
19/01/2012,Paulistano,80,90,Pinheiros,15,1
19/01/2012,Joinville,81,86,São José,15,1
19/01/2012,Limeira,69,65,Araraquara,15,1
19/01/2012,Franca,87,84,Uberlândia,15,1
21/01/2012,Espírito Santo,73,81,Brasília,11,1
25/01/2012,Espírito Santo,74,76,L. Sorocabana,1,2
26/01/2012,Brasília,82,83,São José,1,2
26/01/2012,Paulistano,90,86,Flamengo,1,2
26/01/2012,Minas,72,75,Joinville,1,2
26/01/2012,Limeira,84,74,Franca,1,2
26/01/2012,Pinheiros,77,71,Tijuca,1,2
26/01/2012,Araraquara,84,85,Uberlândia,1,2
28/01/2012,Pinheiros,91,88,Flamengo,2,2
28/01/2012,Minas,85,80,São José,2,2
28/01/2012,Paulistano,80,84,Tijuca,2,2
28/01/2012,Brasília,100,83,Joinville,2,2
28/01/2012,Araraquara,67,102,Franca,2,2
28/01/2012,Espírito Santo,68,76,Bauru,2,2
28/01/2012,Limeira,84,74,Uberlândia,2,2
30/01/2012,Tijuca,79,87,Brasília,3,2
02/02/2012,Franca,71,75,Paulistano,3,2
