Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Bauru Basket,2,0.00,90.50,45.00,35.00,10.50,32.50,9.00,23.50,21.50,10.00,2.15,90.50,15.00,32.00,46.88,17.50,35.00,50.00,10.50,13.50,77.78,0.00,7.00,0.70,0.50,22.00,0.02,10.00,0.50,104.50
Mogi,1,0.00,90.00,39.00,40.00,11.00,52.00,13.00,39.00,27.00,23.00,1.17,90.00,13.00,33.00,39.39,20.00,34.00,58.82,11.00,14.00,78.57,5.00,10.00,0.43,3.00,15.00,0.20,23.00,3.00,122.00
Flamengo,2,0.00,86.00,42.00,31.00,13.00,45.00,14.00,31.00,21.50,12.50,1.72,86.00,14.00,40.00,35.00,15.50,27.00,57.41,13.00,19.00,68.42,1.50,5.00,0.40,2.00,19.00,0.11,12.50,2.00,103.50
Pinheiros,3,0.00,81.33,34.00,40.00,7.33,36.33,11.00,25.33,18.33,13.00,1.41,81.33,11.33,32.33,35.05,20.00,40.00,50.00,7.33,10.33,70.97,2.33,11.33,0.87,3.00,18.67,0.16,13.00,1.67,93.33
Sesi Franca,1,0.00,81.00,33.00,38.00,10.00,47.00,13.00,34.00,16.00,10.00,1.60,81.00,11.00,34.00,32.35,19.00,45.00,42.22,10.00,15.00,66.67,1.00,8.00,0.80,1.00,23.00,0.04,10.00,4.00,89.00
São Paulo,2,0.00,81.00,24.00,41.00,16.00,38.00,3.00,35.00,16.00,15.00,1.07,81.00,8.00,22.00,36.36,20.50,34.00,60.29,16.00,21.50,74.42,1.00,4.50,0.30,3.50,21.00,0.17,15.00,0.50,95.00
Minas,2,0.00,81.00,27.00,37.00,17.00,31.50,9.00,22.50,14.50,14.50,1.00,81.00,9.00,27.50,32.73,18.50,33.50,55.22,17.00,19.50,87.18,1.50,8.50,0.59,2.50,15.00,0.17,14.50,2.50,87.50
BRB/Brasília,2,0.00,77.50,39.00,31.00,7.50,34.50,7.50,27.00,17.00,18.50,0.92,77.50,13.00,25.00,52.00,15.50,30.50,50.82,7.50,12.50,60.00,0.00,6.00,0.32,1.00,16.00,0.06,18.50,4.00,85.50
Fortaleza B. C. / CFO,2,0.00,76.00,22.50,46.00,7.50,37.50,8.50,29.00,12.50,15.50,0.81,76.00,7.50,22.50,33.33,23.00,41.00,56.10,7.50,15.50,48.39,1.50,12.00,0.77,4.00,19.00,0.21,15.50,2.00,85.50
UNIFACISA,2,0.00,73.50,25.50,39.00,9.00,34.00,11.00,23.00,12.00,10.50,1.14,73.50,8.50,28.00,30.36,19.50,40.00,48.75,9.00,12.50,72.00,1.50,9.50,0.90,1.00,16.50,0.06,10.50,1.00,76.00
Paulistano,2,0.00,71.00,21.00,35.00,15.00,40.00,9.00,31.00,9.50,20.50,0.46,71.00,7.00,24.00,29.17,17.50,32.50,53.85,15.00,20.00,75.00,0.50,6.50,0.32,0.50,18.50,0.03,20.50,2.50,70.00
Cerrado,2,0.00,71.00,24.00,39.00,8.00,41.50,10.00,31.50,10.50,18.00,0.58,71.00,8.00,22.00,36.36,19.50,41.00,47.56,8.00,15.00,53.33,2.00,7.50,0.42,3.00,14.50,0.21,18.00,2.50,73.00
Rio Claro,1,0.00,69.00,21.00,40.00,8.00,35.00,14.00,21.00,13.00,14.00,0.93,69.00,7.00,23.00,30.43,20.00,47.00,42.55,8.00,14.00,57.14,1.00,6.00,0.43,1.00,20.00,0.05,14.00,2.00,61.00
Corinthians,2,0.00,68.00,24.00,31.00,13.00,42.50,13.50,29.00,11.00,16.00,0.69,68.00,8.00,27.00,29.63,15.50,31.00,50.00,13.00,16.50,78.79,2.50,5.50,0.34,1.00,16.50,0.06,16.00,6.00,74.00
União Corinthians,2,0.00,63.00,19.50,33.00,10.50,31.00,8.50,22.50,12.00,14.00,0.86,63.00,6.50,27.00,24.07,16.50,35.50,46.48,10.50,16.00,65.63,0.00,5.00,0.36,1.50,23.50,0.06,14.00,3.00,53.50
Caxias do Sul Basquete,2,0.00,59.00,21.00,32.00,6.00,33.50,8.50,25.00,16.00,15.00,1.07,59.00,7.00,24.50,28.57,16.00,34.50,46.38,6.00,8.50,70.59,0.50,9.00,0.60,2.00,19.50,0.10,15.00,2.50,66.00
