Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Sesi Franca,1,0.00,97.00,36.00,42.00,19.00,35.00,8.00,27.00,17.00,16.00,1.06,97.00,12.00,27.00,44.44,21.00,27.00,77.78,19.00,23.00,82.61,2.00,5.00,0.31,3.00,15.00,0.20,16.00,1.00,116.00
UNIFACISA,2,0.00,89.50,39.00,36.00,14.50,37.00,8.00,29.00,13.50,8.00,1.69,89.50,13.00,35.50,36.62,18.00,29.00,62.07,14.50,18.50,78.38,1.00,8.00,1.00,1.00,21.00,0.05,8.00,2.00,103.50
Corinthians,1,0.00,88.00,33.00,42.00,13.00,41.00,18.00,23.00,18.00,14.00,1.29,88.00,11.00,28.00,39.29,21.00,44.00,47.73,13.00,15.00,86.67,2.00,1.00,0.07,1.00,20.00,0.05,14.00,4.00,93.00
BRB/Brasília,2,0.00,85.00,28.50,44.00,12.50,46.50,12.50,34.00,21.00,14.50,1.45,85.00,9.50,26.50,35.85,22.00,40.00,55.00,12.50,16.00,78.13,1.00,5.00,0.34,3.00,20.00,0.15,14.50,1.50,107.50
Pinheiros,2,0.00,83.00,30.00,43.00,10.00,43.00,14.00,29.00,16.50,14.50,1.14,83.00,10.00,30.50,32.79,21.50,36.50,58.90,10.00,15.00,66.67,3.50,4.50,0.31,1.50,18.50,0.08,14.50,5.50,93.50
Minas,2,0.00,82.00,21.00,50.00,11.00,36.50,10.00,26.50,17.50,12.50,1.40,82.00,7.00,25.50,27.45,25.00,38.50,64.94,11.00,16.00,68.75,3.50,8.00,0.64,3.00,18.50,0.16,12.50,7.00,97.50
Rio Claro,2,0.00,77.00,19.50,42.00,15.50,37.50,11.50,26.00,14.00,13.00,1.08,77.00,6.50,20.50,31.71,21.00,40.00,52.50,15.50,18.00,86.11,1.00,7.50,0.58,2.00,21.00,0.10,13.00,6.00,89.50
São Paulo,1,0.00,73.00,30.00,18.00,25.00,42.00,13.00,29.00,13.00,13.00,1.00,73.00,10.00,26.00,38.46,9.00,28.00,32.14,25.00,31.00,80.65,1.00,6.00,0.46,5.00,17.00,0.29,13.00,1.00,85.00
Pato Basquete,2,0.00,72.50,31.50,33.00,8.00,28.00,8.00,20.00,15.50,14.00,1.11,72.50,10.50,29.50,35.59,16.50,31.50,52.38,8.00,11.00,72.73,0.50,6.50,0.46,1.00,19.50,0.05,14.00,3.50,72.50
União Corinthians,2,0.00,72.00,28.50,30.00,13.50,38.00,10.50,27.50,17.00,13.50,1.26,72.00,9.50,26.00,36.54,15.00,41.50,36.14,13.50,18.00,75.00,1.00,9.50,0.70,1.50,22.00,0.07,13.50,1.50,77.00
Caxias do Sul Basquete,2,0.00,70.00,18.00,42.00,10.00,30.50,6.50,24.00,20.50,9.50,2.16,70.00,6.00,18.50,32.43,21.00,44.00,47.73,10.00,15.00,66.67,0.00,5.00,0.53,4.50,18.00,0.25,9.50,2.00,80.50
Bauru Basket,2,0.00,68.00,24.00,33.00,11.00,31.00,6.50,24.50,13.50,13.50,1.00,68.00,8.00,27.00,29.63,16.50,34.50,47.83,11.00,15.50,70.97,1.50,5.00,0.37,1.50,15.00,0.10,13.50,1.50,64.00
Cerrado,2,0.00,67.00,16.50,38.00,12.50,49.00,17.00,32.00,10.50,12.50,0.84,67.00,5.50,28.50,19.30,19.00,40.50,46.91,12.50,19.00,65.79,1.50,6.00,0.48,3.50,15.00,0.23,12.50,2.50,72.50
Fortaleza B. C. / CFO,3,0.00,67.00,24.00,32.67,10.33,34.33,8.67,25.67,10.67,15.00,0.71,67.00,8.00,27.67,28.92,16.33,32.67,50.00,10.33,14.67,70.45,1.33,8.00,0.53,2.33,18.33,0.13,15.00,3.33,67.00
Mogi,2,0.00,63.00,21.00,32.00,10.00,35.00,11.50,23.50,15.00,15.50,0.97,63.00,7.00,28.50,24.56,16.00,32.50,49.23,10.00,15.00,66.67,1.00,6.50,0.42,1.50,19.00,0.08,15.50,2.50,62.50
