Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Flamengo,1,0.00,113.00,54.00,54.00,5.00,44.00,13.00,31.00,34.00,7.00,4.86,113.00,18.00,45.00,40.00,27.00,39.00,69.23,5.00,9.00,55.56,1.00,13.00,1.86,4.00,13.00,0.31,7.00,1.00,158.00
São Paulo,1,0.00,90.00,45.00,34.00,11.00,31.00,4.00,27.00,17.00,12.00,1.42,90.00,15.00,33.00,45.45,17.00,27.00,62.96,11.00,19.00,57.89,3.00,11.00,0.92,2.00,19.00,0.11,12.00,2.00,103.00
Pinheiros,1,0.00,87.00,30.00,40.00,17.00,41.00,9.00,32.00,13.00,15.00,0.87,87.00,10.00,25.00,40.00,20.00,38.00,52.63,17.00,20.00,85.00,2.00,4.00,0.27,1.00,21.00,0.05,15.00,1.00,95.00
Paulistano,1,0.00,87.00,18.00,54.00,15.00,37.00,10.00,27.00,22.00,10.00,2.20,87.00,6.00,24.00,25.00,27.00,39.00,69.23,15.00,20.00,75.00,1.00,6.00,0.60,2.00,17.00,0.12,10.00,0.00,109.00
BRB/Brasília,1,0.00,83.00,36.00,42.00,5.00,38.00,10.00,28.00,21.00,16.00,1.31,83.00,12.00,32.00,37.50,21.00,43.00,48.84,5.00,5.00,100.00,1.00,3.00,0.19,0.00,12.00,0.00,16.00,2.00,87.00
União Corinthians,1,0.00,83.00,36.00,36.00,11.00,38.00,11.00,27.00,17.00,11.00,1.55,83.00,12.00,34.00,35.29,18.00,34.00,52.94,11.00,22.00,50.00,1.00,9.00,0.82,3.00,23.00,0.13,11.00,1.00,90.00
Sesi Franca,1,0.00,77.00,18.00,50.00,9.00,35.00,13.00,22.00,16.00,9.00,1.78,77.00,6.00,23.00,26.09,25.00,49.00,51.02,9.00,11.00,81.82,3.00,7.00,0.78,1.00,17.00,0.06,9.00,1.00,84.00
Mogi,1,0.00,73.00,30.00,36.00,7.00,37.00,10.00,27.00,16.00,20.00,0.80,73.00,10.00,30.00,33.33,18.00,33.00,54.55,7.00,11.00,63.64,2.00,4.00,0.20,3.00,20.00,0.15,20.00,3.00,74.00
UNIFACISA,1,0.00,70.00,21.00,34.00,15.00,33.00,8.00,25.00,17.00,10.00,1.70,70.00,7.00,25.00,28.00,17.00,35.00,48.57,15.00,20.00,75.00,1.00,12.00,1.20,2.00,18.00,0.11,10.00,0.00,83.00
Corinthians,1,0.00,69.00,24.00,34.00,11.00,42.00,12.00,30.00,14.00,19.00,0.74,69.00,8.00,23.00,34.78,17.00,36.00,47.22,11.00,17.00,64.71,2.00,5.00,0.26,2.00,18.00,0.11,19.00,5.00,73.00
Bauru Basket,1,0.00,66.00,24.00,32.00,10.00,40.00,9.00,31.00,10.00,12.00,0.83,66.00,8.00,26.00,30.77,16.00,31.00,51.61,10.00,15.00,66.67,0.00,7.00,0.58,1.00,16.00,0.06,12.00,4.00,74.00
Caxias do Sul Basquete,1,0.00,60.00,24.00,30.00,6.00,38.00,9.00,29.00,15.00,10.00,1.50,60.00,8.00,31.00,25.81,15.00,30.00,50.00,6.00,9.00,66.67,1.00,3.00,0.30,2.00,19.00,0.11,10.00,1.00,67.00
