Data,Equipe_Casa,Pontos_Casa,Pontos_Visitante,Equipe_Visitante,Rodada,Etapa
13/10/2018,Paulistano,75,85,Mogi,1,1
13/10/2018,Brasília,76,77,Vasco da Gama,1,1
13/10/2018,Basq. Cearense,54,73,Flamengo,1,1
13/10/2018,Pinheiros,92,81,Bauru,1,1
15/10/2018,Brasília,69,94,Flamengo,1,1
15/10/2018,Botafogo,62,64,Joinville / AABJ,1,1
15/10/2018,Pinheiros,88,86,São José,1,1
16/10/2018,Corinthians,80,83,Sesi Franca,1,1
17/10/2018,São José,92,86,Basq. Cearense,1,1
17/10/2018,Flamengo,76,75,Joinville / AABJ,1,1
18/10/2018,Mogi,77,83,Pinheiros,1,1
19/10/2018,Vasco da Gama,66,74,Joinville / AABJ,1,1
19/10/2018,Corinthians,83,92,Paulistano,1,1
20/10/2018,Sesi Franca,74,77,Botafogo,1,1
20/10/2018,Mogi,100,72,Basq. Cearense,1,1
22/10/2018,Joinville / AABJ,68,87,Pinheiros,2,1
22/10/2018,Paulistano,72,60,Basq. Cearense,2,1
22/10/2018,São José,62,71,Minas,2,1
23/10/2018,Bauru,76,80,Vasco da Gama,2,1
24/10/2018,Paulistano,81,76,Minas,2,1
24/10/2018,Corinthians,91,79,Brasília,2,1
25/10/2018,Bauru,82,63,Botafogo,2,1
25/10/2018,Sesi Franca,101,75,Vasco da Gama,2,1
26/10/2018,Pinheiros,76,85,Corinthians,2,1
26/10/2018,Mogi,97,82,Brasília,2,1
27/10/2018,Bauru,69,70,Sesi Franca,2,1
29/10/2018,Minas,85,73,Joinville / AABJ,3,1
30/10/2018,Botafogo,77,74,Paulistano,3,1
30/10/2018,Flamengo,93,73,Mogi,3,1
31/10/2018,Minas,93,65,Vasco da Gama,3,1
31/10/2018,Basq. Cearense,82,91,Sesi Franca,3,1
31/10/2018,Brasília,105,113,Bauru,3,1
01/11/2018,Joinville / AABJ,72,98,Corinthians,3,1
01/11/2018,Botafogo,90,86,Mogi,3,1
01/11/2018,Flamengo,61,74,Pinheiros,3,1
02/11/2018,Brasília,73,101,Sesi Franca,3,1
02/11/2018,Basq. Cearense,82,73,Bauru,3,1
02/11/2018,Vasco da Gama,60,76,Paulistano,3,1
03/11/2018,Flamengo,72,64,Corinthians,3,1
03/11/2018,Minas,83,79,Pinheiros,3,1
05/11/2018,São José,74,96,Mogi,4,1
06/11/2018,Bauru,47,77,Flamengo,4,1
06/11/2018,Sesi Franca,83,66,Minas,4,1
07/11/2018,Joinville / AABJ,72,69,Basq. Cearense,4,1
07/11/2018,Pinheiros,71,82,Paulistano,4,1
08/11/2018,Bauru,81,68,Minas,4,1
08/11/2018,Sesi Franca,84,77,Flamengo,4,1
09/11/2018,Botafogo,86,71,Corinthians,4,1
10/11/2018,Flamengo,90,70,Vasco da Gama,4,1
10/11/2018,Bauru,63,75,São José,4,1
10/11/2018,Pinheiros,88,86,Basq. Cearense,4,1
12/11/2018,Corinthians,57,55,Basq. Cearense,5,1
13/11/2018,Joinville / AABJ,89,56,Bauru,5,1
13/11/2018,Minas,97,99,Mogi,5,1
14/11/2018,São José,57,64,Flamengo,5,1
14/11/2018,Brasília,82,64,Botafogo,5,1
15/11/2018,Mogi,73,67,Bauru,5,1
16/11/2018,Basq. Cearense,65,54,Botafogo,5,1
16/11/2018,Paulistano,97,84,Flamengo,5,1
17/11/2018,Vasco da Gama,78,68,Corinthians,5,1
19/11/2018,Mogi,89,95,Sesi Franca,5,1
20/11/2018,Paulistano,88,82,São José,6,1
21/11/2018,Pinheiros,79,61,Brasília,6,1
22/11/2018,Sesi Franca,95,93,São José,6,1
23/11/2018,Joinville / AABJ,77,84,Brasília,6,1
24/11/2018,Sesi Franca,89,73,Paulistano,6,1
25/11/2018,Minas,72,69,Corinthians,7,1
27/11/2018,Botafogo,84,74,São José,7,1
29/11/2018,Vasco da Gama,81,77,São José,7,1
01/12/2018,Vasco da Gama,79,97,Botafogo,7,1
04/12/2018,Minas,85,77,Botafogo,8,1
04/12/2018,Pinheiros,91,79,Sesi Franca,8,1
05/12/2018,Corinthians,74,82,São José,8,1
05/12/2018,Basq. Cearense,76,63,Brasília,8,1
06/12/2018,Bauru,85,64,Paulistano,8,1
06/12/2018,Mogi,81,67,Joinville / AABJ,8,1
07/12/2018,Basq. Cearense,66,60,Vasco da Gama,8,1
07/12/2018,Flamengo,102,73,Botafogo,8,1
08/12/2018,Mogi,102,96,Corinthians,8,1
08/12/2018,São José,102,100,Joinville / AABJ,8,1
10/12/2018,Brasília,88,77,Minas,9,1
10/12/2018,Paulistano,109,97,Joinville / AABJ,9,1
11/12/2018,Vasco da Gama,65,71,Pinheiros,9,1
12/12/2018,Basq. Cearense,70,61,Minas,9,1
13/12/2018,São José,87,75,Brasília,9,1
13/12/2018,Botafogo,76,91,Pinheiros,9,1
14/12/2018,Vasco da Gama,75,88,Mogi,9,1
15/12/2018,Corinthians,87,83,Bauru,9,1
15/12/2018,Minas,80,91,Flamengo,9,1
15/12/2018,Paulistano,83,82,Brasília,9,1
18/12/2018,Joinville / AABJ,80,95,Sesi Franca,9,1
