Data,Equipe_Casa,Pontos_Casa,Pontos_Visitante,Equipe_Visitante,Rodada,Etapa
07/03/2010,Espírito Santo,64,85,Franca,6,2
07/03/2010,Saldanha,61,70,Araraquara,6,2
07/03/2010,Joinville,63,75,Pinheiros,6,2
07/03/2010,Londrina,75,64,Paulistano,6,2
07/03/2010,Minas,114,113,Bauru,6,2
07/03/2010,Brasília,101,62,Assis,6,2
07/03/2010,Flamengo,101,89,São José,5,2
12/03/2010,Brasília,77,96,Minas,7,2
12/03/2010,Franca,81,73,Londrina,7,2
12/03/2010,Bauru,94,72,Saldanha,7,2
12/03/2010,Assis,89,75,Espírito Santo,7,2
12/03/2010,Paulistano,95,90,São José,7,2
12/03/2010,Araraquara,90,93,Joinville,7,2
12/03/2010,Pinheiros,79,83,Flamengo,7,2
14/03/2010,Franca,91,77,Joinville,8,2
14/03/2010,Araraquara,81,74,Londrina,8,2
14/03/2010,Assis,79,56,Saldanha,8,2
14/03/2010,Pinheiros,70,71,São José,8,2
14/03/2010,Bauru,80,72,Espírito Santo,8,2
14/03/2010,Paulistano,77,86,Flamengo,8,2
19/03/2010,Flamengo,78,70,Franca,9,2
19/03/2010,Saldanha,72,81,Minas,9,2
19/03/2010,São José,96,89,Araraquara,9,2
19/03/2010,Paulistano,85,80,Pinheiros,9,2
19/03/2010,Joinville,75,74,Assis,9,2
19/03/2010,Espírito Santo,85,92,Brasília,9,2
21/03/2010,Londrina,76,86,Assis,10,2
21/03/2010,São José,83,77,Franca,10,2
21/03/2010,Saldanha,76,75,Brasília,10,2
21/03/2010,Joinville,65,61,Bauru,10,2
21/03/2010,Espírito Santo,69,72,Minas,10,2
21/03/2010,Flamengo,98,71,Araraquara,10,2
23/03/2010,Londrina,74,87,Bauru,9,2
26/03/2010,Brasília,106,81,Joinville,11,2
26/03/2010,Araraquara,94,90,Pinheiros,11,2
26/03/2010,Franca,88,85,Paulistano,11,2
26/03/2010,Minas,101,80,Londrina,11,2
26/03/2010,Saldanha,83,57,Espírito Santo,11,2
26/03/2010,Bauru,108,105,Flamengo,11,2
26/03/2010,Assis,84,89,São José,11,2
28/03/2010,Assis,60,95,Flamengo,12,2
28/03/2010,Bauru,104,79,São José,12,2
28/03/2010,Franca,77,78,Pinheiros,12,2
28/03/2010,Araraquara,106,110,Paulistano,12,2
28/03/2010,Minas,87,88,Joinville,12,2
28/03/2010,Brasília,91,76,Londrina,12,2
02/04/2010,Araraquara,96,70,Franca,13,2
02/04/2010,Flamengo,91,71,Minas,13,2
02/04/2010,São José,72,84,Brasília,13,2
02/04/2010,Joinville,63,71,Saldanha,13,2
02/04/2010,Paulistano,95,86,Bauru,13,2
02/04/2010,Londrina,81,73,Espírito Santo,13,2
02/04/2010,Pinheiros,83,80,Assis,13,2
04/04/2010,Pinheiros,96,87,Bauru,14,2
04/04/2010,São José,85,74,Minas,14,2
04/04/2010,Paulistano,81,87,Assis,14,2
