Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Pinheiros,1,0.00,97.00,42.00,48.00,7.00,34.00,10.00,24.00,22.00,9.00,2.44,97.00,14.00,27.00,51.85,24.00,42.00,57.14,7.00,10.00,70.00,2.00,9.00,1.00,2.00,15.00,0.13,9.00,1.00,121.00
Bauru Basket,1,0.00,91.00,36.00,40.00,15.00,36.00,11.00,25.00,17.00,10.00,1.70,91.00,12.00,28.00,42.86,20.00,38.00,52.63,15.00,18.00,83.33,2.00,8.00,0.80,2.00,14.00,0.14,10.00,1.00,107.00
Brasília,1,0.00,91.00,30.00,38.00,23.00,43.00,11.00,32.00,13.00,11.00,1.18,91.00,10.00,26.00,38.46,19.00,34.00,55.88,23.00,27.00,85.19,1.00,6.00,0.55,0.00,19.00,0.00,11.00,1.00,107.00
Limeira,1,0.00,85.00,24.00,40.00,21.00,39.00,8.00,31.00,14.00,10.00,1.40,85.00,8.00,17.00,47.06,20.00,43.00,46.51,21.00,29.00,72.41,1.00,6.00,0.60,4.00,24.00,0.17,10.00,2.00,98.00
Flamengo,1,0.00,83.00,33.00,34.00,16.00,35.00,13.00,22.00,17.00,13.00,1.31,83.00,11.00,33.00,33.33,17.00,32.00,53.13,16.00,19.00,84.21,1.00,17.00,1.31,1.00,16.00,0.06,13.00,4.00,100.00
Fortaleza B. C. / CFO,1,0.00,80.00,24.00,42.00,14.00,39.00,15.00,24.00,16.00,17.00,0.94,80.00,8.00,17.00,47.06,21.00,46.00,45.65,14.00,19.00,73.68,1.00,13.00,0.76,4.00,30.00,0.13,17.00,7.00,96.00
Coop/São José Basketball,1,0.00,79.00,30.00,40.00,9.00,38.00,10.00,28.00,20.00,16.00,1.25,79.00,10.00,21.00,47.62,20.00,42.00,47.62,9.00,12.00,75.00,1.00,11.00,0.69,4.00,12.00,0.33,16.00,3.00,100.00
Macaé Basquete,1,0.00,78.00,18.00,46.00,14.00,25.00,7.00,18.00,18.00,6.00,3.00,78.00,6.00,26.00,23.08,23.00,44.00,52.27,14.00,19.00,73.68,0.00,10.00,1.67,1.00,22.00,0.05,6.00,0.00,80.00
Uberlândia,1,0.00,73.00,18.00,38.00,17.00,34.00,9.00,25.00,14.00,11.00,1.27,73.00,6.00,21.00,28.57,19.00,43.00,44.19,17.00,20.00,85.00,3.00,14.00,1.27,4.00,22.00,0.18,11.00,3.00,86.00
Paulistano,1,0.00,73.00,33.00,36.00,4.00,33.00,8.00,25.00,12.00,15.00,0.80,73.00,11.00,25.00,44.00,18.00,41.00,43.90,4.00,8.00,50.00,0.00,11.00,0.73,3.00,15.00,0.20,15.00,3.00,76.00
Mogi,1,0.00,71.00,15.00,40.00,16.00,43.00,15.00,28.00,11.00,15.00,0.73,71.00,5.00,20.00,25.00,20.00,41.00,48.78,16.00,23.00,69.57,0.00,7.00,0.47,3.00,18.00,0.17,15.00,0.00,77.00
Goiânia,1,0.00,69.00,21.00,32.00,16.00,29.00,5.00,24.00,7.00,19.00,0.37,69.00,7.00,20.00,35.00,16.00,30.00,53.33,16.00,20.00,80.00,0.00,9.00,0.47,0.00,19.00,0.00,19.00,2.00,64.00
Espírito Santo,1,0.00,68.00,18.00,32.00,18.00,32.00,9.00,23.00,12.00,7.00,1.71,68.00,6.00,22.00,27.27,16.00,31.00,51.61,18.00,24.00,75.00,1.00,3.00,0.43,2.00,21.00,0.10,7.00,2.00,73.00
Minas,1,0.00,67.00,6.00,44.00,17.00,30.00,6.00,24.00,6.00,7.00,0.86,67.00,2.00,11.00,18.18,22.00,41.00,53.66,17.00,21.00,80.95,2.00,4.00,0.57,2.00,22.00,0.09,7.00,3.00,70.00
Palmeiras,1,0.00,67.00,15.00,36.00,16.00,34.00,11.00,23.00,11.00,8.00,1.38,67.00,5.00,23.00,21.74,18.00,39.00,46.15,16.00,27.00,59.26,2.00,7.00,0.88,2.00,22.00,0.09,8.00,1.00,63.00
Sesi Franca,1,0.00,65.00,3.00,32.00,30.00,30.00,13.00,17.00,11.00,17.00,0.65,65.00,1.00,9.00,11.11,16.00,39.00,41.03,30.00,39.00,76.92,1.00,9.00,0.53,4.00,20.00,0.20,17.00,3.00,62.00
