Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Coop/São José Basketball,1,0.00,83.00,36.00,36.00,11.00,38.00,7.00,31.00,20.00,14.00,1.43,83.00,12.00,21.00,57.14,18.00,35.00,51.43,11.00,20.00,55.00,0.00,2.00,0.14,3.00,17.00,0.18,14.00,4.00,97.00
Paulistano,1,0.00,78.00,21.00,50.00,7.00,36.00,14.00,22.00,12.00,8.00,1.50,78.00,7.00,30.00,23.33,25.00,45.00,55.56,7.00,11.00,63.64,0.00,9.00,1.13,1.00,22.00,0.05,8.00,5.00,81.00
Mogi,1,0.00,69.00,18.00,38.00,13.00,41.00,11.00,30.00,12.00,16.00,0.75,69.00,6.00,18.00,33.33,19.00,38.00,50.00,13.00,20.00,65.00,3.00,8.00,0.50,0.00,20.00,0.00,16.00,3.00,76.00
Flamengo,1,0.00,65.00,18.00,38.00,9.00,31.00,7.00,24.00,16.00,11.00,1.45,65.00,6.00,29.00,20.69,19.00,33.00,57.58,9.00,12.00,75.00,1.00,11.00,1.00,1.00,25.00,0.04,11.00,2.00,73.00
