Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Pinheiros,1,0.00,97.00,33.00,44.00,20.00,40.00,7.00,33.00,16.00,16.00,1.00,97.00,11.00,24.00,45.83,22.00,39.00,56.41,20.00,23.00,86.96,4.00,4.00,0.25,1.00,16.00,0.06,16.00,3.00,109.00
Uberlândia,1,0.00,95.00,36.00,46.00,13.00,39.00,10.00,29.00,18.00,11.00,1.64,95.00,12.00,24.00,50.00,23.00,44.00,52.27,13.00,20.00,65.00,2.00,9.00,0.82,2.00,21.00,0.10,11.00,3.00,112.00
Fortaleza B. C. / CFO,1,0.00,94.00,30.00,56.00,8.00,36.00,11.00,25.00,20.00,7.00,2.86,94.00,10.00,25.00,40.00,28.00,55.00,50.91,8.00,13.00,61.54,5.00,11.00,1.57,0.00,22.00,0.00,7.00,3.00,107.00
Macaé Basquete,1,0.00,91.00,27.00,44.00,20.00,24.00,9.00,15.00,12.00,7.00,1.71,91.00,9.00,23.00,39.13,22.00,37.00,59.46,20.00,21.00,95.24,0.00,14.00,2.00,1.00,17.00,0.06,7.00,0.00,105.00
Mogi,1,0.00,89.00,27.00,40.00,22.00,38.00,13.00,25.00,22.00,16.00,1.38,89.00,9.00,22.00,40.91,20.00,35.00,57.14,22.00,28.00,78.57,3.00,12.00,0.75,2.00,23.00,0.09,16.00,4.00,113.00
Brasília,1,0.00,81.00,30.00,38.00,13.00,31.00,5.00,26.00,18.00,12.00,1.50,81.00,10.00,29.00,34.48,19.00,34.00,55.88,13.00,16.00,81.25,0.00,6.00,0.50,2.00,22.00,0.09,12.00,1.00,89.00
Flamengo,1,0.00,80.00,21.00,42.00,17.00,39.00,9.00,30.00,10.00,16.00,0.63,80.00,7.00,23.00,30.43,21.00,39.00,53.85,17.00,22.00,77.27,0.00,11.00,0.69,3.00,18.00,0.17,16.00,1.00,88.00
Bauru Basket,1,0.00,79.00,18.00,44.00,17.00,28.00,9.00,19.00,18.00,7.00,2.57,79.00,6.00,17.00,35.29,22.00,41.00,53.66,17.00,21.00,80.95,4.00,10.00,1.43,2.00,12.00,0.17,7.00,0.00,96.00
Limeira,1,0.00,74.00,27.00,34.00,13.00,29.00,10.00,19.00,17.00,10.00,1.70,74.00,9.00,18.00,50.00,17.00,36.00,47.22,13.00,18.00,72.22,2.00,7.00,0.70,0.00,19.00,0.00,10.00,3.00,84.00
Espírito Santo,1,0.00,74.00,27.00,42.00,5.00,33.00,9.00,24.00,17.00,17.00,1.00,74.00,9.00,22.00,40.91,21.00,35.00,60.00,5.00,9.00,55.56,2.00,6.00,0.35,1.00,22.00,0.05,17.00,4.00,83.00
Palmeiras,1,0.00,69.00,15.00,40.00,14.00,38.00,23.00,15.00,14.00,16.00,0.88,69.00,5.00,22.00,22.73,20.00,49.00,40.82,14.00,20.00,70.00,2.00,9.00,0.56,2.00,23.00,0.09,16.00,3.00,64.00
L. Sorocabana,1,0.00,67.00,27.00,30.00,10.00,28.00,11.00,17.00,8.00,19.00,0.42,67.00,9.00,22.00,40.91,15.00,29.00,51.72,10.00,15.00,66.67,0.00,7.00,0.37,1.00,19.00,0.05,19.00,5.00,60.00
Minas,1,0.00,66.00,21.00,32.00,13.00,26.00,5.00,21.00,15.00,11.00,1.36,66.00,7.00,14.00,50.00,16.00,29.00,55.17,13.00,17.00,76.47,0.00,5.00,0.45,1.00,21.00,0.05,11.00,4.00,78.00
Goiânia,1,0.00,63.00,21.00,34.00,8.00,35.00,6.00,29.00,11.00,12.00,0.92,63.00,7.00,27.00,25.93,17.00,30.00,56.67,8.00,13.00,61.54,0.00,11.00,0.92,1.00,22.00,0.05,12.00,4.00,71.00
Sesi Franca,1,0.00,61.00,9.00,44.00,8.00,41.00,12.00,29.00,10.00,15.00,0.67,61.00,3.00,17.00,17.65,22.00,46.00,47.83,8.00,11.00,72.73,0.00,8.00,0.53,3.00,16.00,0.19,15.00,4.00,67.00
Paulistano,1,0.00,58.00,24.00,24.00,10.00,33.00,7.00,26.00,9.00,14.00,0.64,58.00,8.00,25.00,32.00,12.00,31.00,38.71,10.00,16.00,62.50,0.00,13.00,0.93,2.00,20.00,0.10,14.00,2.00,59.00
