Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Brasília,1,0.00,110.00,51.00,42.00,17.00,39.00,8.00,31.00,23.00,8.00,2.88,110.00,17.00,37.00,45.95,21.00,32.00,65.63,17.00,21.00,80.95,3.00,6.00,0.75,4.00,22.00,0.18,8.00,2.00,139.00
Coop/São José Basketball,1,0.00,96.00,12.00,56.00,28.00,35.00,9.00,26.00,19.00,18.00,1.06,96.00,4.00,18.00,22.22,28.00,43.00,65.12,28.00,35.00,80.00,1.00,14.00,0.78,2.00,23.00,0.09,18.00,5.00,112.00
Paulistano,1,0.00,90.00,21.00,34.00,35.00,38.00,13.00,25.00,7.00,20.00,0.35,90.00,7.00,21.00,33.33,17.00,36.00,47.22,35.00,38.00,92.11,2.00,6.00,0.30,0.00,17.00,0.00,20.00,3.00,85.00
Sesi Franca,1,0.00,88.00,27.00,50.00,11.00,34.00,12.00,22.00,21.00,13.00,1.62,88.00,9.00,20.00,45.00,25.00,40.00,62.50,11.00,18.00,61.11,6.00,10.00,0.77,2.00,15.00,0.13,13.00,2.00,109.00
Macaé Basquete,1,0.00,88.00,24.00,48.00,16.00,25.00,2.00,23.00,20.00,15.00,1.33,88.00,8.00,20.00,40.00,24.00,40.00,60.00,16.00,20.00,80.00,2.00,9.00,0.60,3.00,27.00,0.11,15.00,1.00,98.00
Bauru Basket,1,0.00,86.00,30.00,38.00,18.00,30.00,7.00,23.00,12.00,10.00,1.20,86.00,10.00,22.00,45.45,19.00,33.00,57.58,18.00,20.00,90.00,2.00,5.00,0.50,1.00,17.00,0.06,10.00,0.00,96.00
Palmeiras,1,0.00,86.00,30.00,38.00,18.00,40.00,12.00,28.00,17.00,19.00,0.89,86.00,10.00,27.00,37.04,19.00,31.00,61.29,18.00,21.00,85.71,3.00,15.00,0.79,3.00,22.00,0.14,19.00,2.00,110.00
Pinheiros,1,0.00,82.00,27.00,34.00,21.00,29.00,5.00,24.00,9.00,9.00,1.00,82.00,9.00,26.00,34.62,17.00,34.00,50.00,21.00,27.00,77.78,0.00,6.00,0.67,3.00,20.00,0.15,9.00,0.00,80.00
Fortaleza B. C. / CFO,1,0.00,81.00,18.00,52.00,11.00,37.00,11.00,26.00,14.00,13.00,1.08,81.00,6.00,13.00,46.15,26.00,45.00,57.78,11.00,21.00,52.38,1.00,5.00,0.38,3.00,23.00,0.13,13.00,3.00,91.00
Uberlândia,1,0.00,79.00,30.00,40.00,9.00,29.00,10.00,19.00,13.00,12.00,1.08,79.00,10.00,35.00,28.57,20.00,34.00,58.82,9.00,12.00,75.00,2.00,15.00,1.25,3.00,27.00,0.11,12.00,4.00,85.00
Minas,1,0.00,79.00,21.00,38.00,20.00,28.00,9.00,19.00,18.00,10.00,1.80,79.00,7.00,18.00,38.89,19.00,38.00,50.00,20.00,28.00,71.43,3.00,8.00,0.80,4.00,24.00,0.17,10.00,3.00,89.00
L. Sorocabana,1,0.00,79.00,27.00,48.00,4.00,25.00,7.00,18.00,19.00,12.00,1.58,79.00,9.00,25.00,36.00,24.00,36.00,66.67,4.00,7.00,57.14,3.00,10.00,0.83,2.00,17.00,0.12,12.00,1.00,92.00
Limeira,1,0.00,79.00,21.00,42.00,16.00,27.00,7.00,20.00,21.00,7.00,3.00,79.00,7.00,22.00,31.82,21.00,36.00,58.33,16.00,17.00,94.12,1.00,10.00,1.43,1.00,19.00,0.05,7.00,2.00,100.00
Mogi,1,0.00,73.00,9.00,44.00,20.00,43.00,19.00,24.00,10.00,19.00,0.53,73.00,3.00,17.00,17.65,22.00,42.00,52.38,20.00,33.00,60.61,0.00,11.00,0.58,3.00,30.00,0.10,19.00,3.00,74.00
Espírito Santo,1,0.00,70.00,18.00,24.00,28.00,26.00,4.00,22.00,6.00,15.00,0.40,70.00,6.00,19.00,31.58,12.00,25.00,48.00,28.00,35.00,80.00,2.00,11.00,0.73,1.00,28.00,0.04,15.00,3.00,66.00
Goiânia,1,0.00,63.00,15.00,36.00,12.00,29.00,12.00,17.00,13.00,17.00,0.76,63.00,5.00,21.00,23.81,18.00,39.00,46.15,12.00,18.00,66.67,0.00,15.00,0.88,2.00,18.00,0.11,17.00,2.00,62.00
