Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Mogi,1,0.00,94.00,15.00,56.00,23.00,39.00,10.00,29.00,20.00,10.00,2.00,94.00,5.00,13.00,38.46,28.00,49.00,57.14,23.00,25.00,92.00,1.00,8.00,0.80,1.00,25.00,0.04,10.00,1.00,121.00
Coop/São José Basketball,1,0.00,85.00,21.00,42.00,22.00,46.00,15.00,31.00,13.00,13.00,1.00,85.00,7.00,24.00,29.17,21.00,39.00,53.85,22.00,28.00,78.57,0.00,1.00,0.08,1.00,15.00,0.07,13.00,3.00,92.00
Brasília,1,0.00,84.00,42.00,36.00,6.00,32.00,4.00,28.00,16.00,11.00,1.45,84.00,14.00,32.00,43.75,18.00,31.00,58.06,6.00,9.00,66.67,3.00,8.00,0.73,3.00,15.00,0.20,11.00,2.00,98.00
Macaé Basquete,1,0.00,82.00,30.00,38.00,14.00,30.00,8.00,22.00,14.00,2.00,7.00,82.00,10.00,28.00,35.71,19.00,41.00,46.34,14.00,15.00,93.33,1.00,10.00,5.00,2.00,20.00,0.10,2.00,0.00,95.00
Pinheiros,1,0.00,82.00,42.00,30.00,10.00,35.00,8.00,27.00,16.00,12.00,1.33,82.00,14.00,26.00,53.85,15.00,38.00,39.47,10.00,13.00,76.92,4.00,9.00,0.75,2.00,18.00,0.11,12.00,1.00,94.00
Goiânia,1,0.00,81.00,15.00,46.00,20.00,36.00,13.00,23.00,17.00,13.00,1.31,81.00,5.00,20.00,25.00,23.00,42.00,54.76,20.00,24.00,83.33,1.00,2.00,0.15,0.00,23.00,0.00,13.00,6.00,85.00
Paulistano,1,0.00,81.00,21.00,52.00,8.00,35.00,16.00,19.00,13.00,6.00,2.17,81.00,7.00,29.00,24.14,26.00,43.00,60.47,8.00,11.00,72.73,0.00,7.00,1.17,2.00,19.00,0.11,6.00,3.00,90.00
Sesi Franca,1,0.00,80.00,24.00,38.00,18.00,35.00,9.00,26.00,15.00,22.00,0.68,80.00,8.00,20.00,40.00,19.00,32.00,59.38,18.00,24.00,75.00,3.00,10.00,0.45,3.00,14.00,0.21,22.00,4.00,90.00
Uberlândia,1,0.00,80.00,30.00,36.00,14.00,35.00,13.00,22.00,21.00,11.00,1.91,80.00,10.00,21.00,47.62,18.00,39.00,46.15,14.00,20.00,70.00,3.00,3.00,0.27,2.00,15.00,0.13,11.00,4.00,92.00
Palmeiras,1,0.00,77.00,27.00,34.00,16.00,35.00,13.00,22.00,21.00,14.00,1.50,77.00,9.00,33.00,27.27,17.00,34.00,50.00,16.00,24.00,66.67,2.00,7.00,0.50,4.00,21.00,0.19,14.00,12.00,81.00
Espírito Santo,1,0.00,76.00,30.00,30.00,16.00,25.00,8.00,17.00,16.00,13.00,1.23,76.00,10.00,27.00,37.04,15.00,33.00,45.45,16.00,20.00,80.00,3.00,6.00,0.46,0.00,24.00,0.00,13.00,3.00,71.00
L. Sorocabana,1,0.00,73.00,12.00,50.00,11.00,29.00,11.00,18.00,14.00,11.00,1.27,73.00,4.00,11.00,36.36,25.00,56.00,44.64,11.00,13.00,84.62,4.00,16.00,1.45,1.00,22.00,0.05,11.00,2.00,82.00
Minas,1,0.00,71.00,6.00,44.00,21.00,34.00,8.00,26.00,12.00,13.00,0.92,71.00,2.00,12.00,16.67,22.00,41.00,53.66,21.00,33.00,63.64,3.00,13.00,1.00,2.00,27.00,0.07,13.00,5.00,78.00
Fortaleza B. C. / CFO,1,0.00,60.00,9.00,34.00,17.00,33.00,8.00,25.00,10.00,18.00,0.56,60.00,3.00,10.00,30.00,17.00,45.00,37.78,17.00,25.00,68.00,2.00,6.00,0.33,2.00,23.00,0.09,18.00,3.00,50.00
