Equipe,JO,Min,Pts,3P,2P,LL,RT,RO,RD,AS,ER,IA%,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,BR,B/E,TO,FC,T/FC,ET,VI,EF
Sesi Franca,1,0.00,76.00,30.00,30.00,16.00,38.00,12.00,26.00,19.00,13.00,1.46,76.00,10.00,22.00,45.45,15.00,36.00,41.67,16.00,19.00,84.21,1.00,7.00,0.54,4.00,22.00,0.18,13.00,1.00,95.00
Uberlândia,1,0.00,71.00,18.00,40.00,13.00,37.00,15.00,22.00,18.00,10.00,1.80,71.00,6.00,29.00,20.69,20.00,39.00,51.28,13.00,15.00,86.67,4.00,11.00,1.10,1.00,20.00,0.05,10.00,1.00,84.00
Coop/São José Basketball,1,0.00,64.00,33.00,26.00,5.00,52.00,15.00,37.00,18.00,14.00,1.29,64.00,11.00,34.00,32.35,13.00,33.00,39.39,5.00,8.00,62.50,2.00,4.00,0.29,5.00,15.00,0.33,14.00,2.00,83.00
Palmeiras,1,0.00,60.00,18.00,36.00,6.00,35.00,9.00,26.00,10.00,7.00,1.43,60.00,6.00,24.00,25.00,18.00,44.00,40.91,6.00,12.00,50.00,1.00,12.00,1.71,2.00,15.00,0.13,7.00,2.00,62.00
